x	y	data
Lum	0.326835532	WT
Lum_H	0.053431773	WT
Bas_mes	0.339091864	WT
Bas_H	0.116230886	WT
Bas_epi	0.164409945	WT
Lum	0.324719167	WT
Lum_H	0.054449683	WT
Bas_mes	0.336214423	WT
Bas_H	0.122722775	WT
Bas_epi	0.161893953	WT
Lum	0.322475475	WT
Lum_H	0.057986202	WT
Bas_mes	0.338194626	WT
Bas_H	0.117893634	WT
Bas_epi	0.163450063	WT
Lum	0.314179971	IL1B
Lum_H	0.039770411	IL1B
Bas_mes	0.321456576	IL1B
Bas_H	0.131417997	IL1B
Bas_epi	0.193175046	IL1B
Lum	0.314300828	IL1B
Lum_H	0.038428029	IL1B
Bas_mes	0.321084075	IL1B
Bas_H	0.135416018	IL1B
Bas_epi	0.19077105	IL1B
Lum	0.317764647	IL1B
Lum_H	0.040577068	IL1B
Bas_mes	0.319524767	IL1B
Bas_H	0.13106613	IL1B
Bas_epi	0.191067387	IL1B
