x	y	data
Lum	0.326835532	WT
Lum_H	0.053431773	WT
Bas_mes	0.339091864	WT
Bas_H	0.116230886	WT
Bas_epi	0.164409945	WT
Lum	0.324719167	WT
Lum_H	0.054449683	WT
Bas_mes	0.336214423	WT
Bas_H	0.122722775	WT
Bas_epi	0.161893953	WT
Lum	0.322475475	WT
Lum_H	0.057986202	WT
Bas_mes	0.338194626	WT
Bas_H	0.117893634	WT
Bas_epi	0.163450063	WT
Lum	0.314783374	TGFB1
Lum_H	0.102181978	TGFB1
Bas_mes	0.419166195	TGFB1
Bas_H	0.07904169	TGFB1
Bas_epi	0.084826762	TGFB1
Lum	0.313952388	TGFB1
Lum_H	0.100331074	TGFB1
Bas_mes	0.420148195	TGFB1
Bas_H	0.081349519	TGFB1
Bas_epi	0.084218824	TGFB1
Lum	0.315423012	TGFB1
Lum_H	0.099799701	TGFB1
Bas_mes	0.422535211	TGFB1
Bas_H	0.07852987	TGFB1
Bas_epi	0.083712206	TGFB1
