original_id	ensembl_gene_id	gene_biotype	external_gene_name
ENSG00000000003	ENSG00000000003	protein_coding	TSPAN6
ENSG00000000419	ENSG00000000419	protein_coding	DPM1
ENSG00000000457	ENSG00000000457	protein_coding	SCYL3
ENSG00000000460	ENSG00000000460	protein_coding	C1orf112
ENSG00000001036	ENSG00000001036	protein_coding	FUCA2
ENSG00000001084	ENSG00000001084	protein_coding	GCLC
ENSG00000001167	ENSG00000001167	protein_coding	NFYA
ENSG00000001460	ENSG00000001460	protein_coding	STPG1
ENSG00000001461	ENSG00000001461	protein_coding	NIPAL3
ENSG00000001497	ENSG00000001497	protein_coding	LAS1L
ENSG00000001617	ENSG00000001617	protein_coding	SEMA3F
ENSG00000001629	ENSG00000001629	protein_coding	ANKIB1
ENSG00000001630	ENSG00000001630	protein_coding	CYP51A1
ENSG00000001631	ENSG00000001631	protein_coding	KRIT1
ENSG00000002016	ENSG00000002016	protein_coding	RAD52
ENSG00000002330	ENSG00000002330	protein_coding	BAD
ENSG00000002549	ENSG00000002549	protein_coding	LAP3
ENSG00000002822	ENSG00000002822	protein_coding	MAD1L1
ENSG00000002834	ENSG00000002834	protein_coding	LASP1
ENSG00000002919	ENSG00000002919	protein_coding	SNX11
ENSG00000003056	ENSG00000003056	protein_coding	M6PR
ENSG00000003249	ENSG00000003249	protein_coding	DBNDD1
ENSG00000003393	ENSG00000003393	protein_coding	ALS2
ENSG00000003402	ENSG00000003402	protein_coding	CFLAR
ENSG00000003509	ENSG00000003509	protein_coding	NDUFAF7
ENSG00000003756	ENSG00000003756	protein_coding	RBM5
ENSG00000003987	ENSG00000003987	protein_coding	MTMR7
ENSG00000004059	ENSG00000004059	protein_coding	ARF5
ENSG00000004142	ENSG00000004142	protein_coding	POLDIP2
ENSG00000004399	ENSG00000004399	protein_coding	PLXND1
ENSG00000004455	ENSG00000004455	protein_coding	AK2
ENSG00000004478	ENSG00000004478	protein_coding	FKBP4
ENSG00000004487	ENSG00000004487	protein_coding	KDM1A
ENSG00000004534	ENSG00000004534	protein_coding	RBM6
ENSG00000004660	ENSG00000004660	protein_coding	CAMKK1
ENSG00000004700	ENSG00000004700	protein_coding	RECQL
ENSG00000004766	ENSG00000004766	protein_coding	VPS50
ENSG00000004777	ENSG00000004777	protein_coding	ARHGAP33
ENSG00000004779	ENSG00000004779	protein_coding	NDUFAB1
ENSG00000004838	ENSG00000004838	protein_coding	ZMYND10
ENSG00000004864	ENSG00000004864	protein_coding	SLC25A13
ENSG00000004866	ENSG00000004866	protein_coding	ST7
ENSG00000004897	ENSG00000004897	protein_coding	CDC27
ENSG00000004961	ENSG00000004961	protein_coding	HCCS
ENSG00000004975	ENSG00000004975	protein_coding	DVL2
ENSG00000005007	ENSG00000005007	protein_coding	UPF1
ENSG00000005020	ENSG00000005020	protein_coding	SKAP2
ENSG00000005022	ENSG00000005022	protein_coding	SLC25A5
ENSG00000005059	ENSG00000005059	protein_coding	MCUB
ENSG00000005075	ENSG00000005075	protein_coding	POLR2J
ENSG00000005100	ENSG00000005100	protein_coding	DHX33
ENSG00000005156	ENSG00000005156	protein_coding	LIG3
ENSG00000005175	ENSG00000005175	protein_coding	RPAP3
ENSG00000005189	ENSG00000005189	protein_coding	REXO5
ENSG00000005194	ENSG00000005194	protein_coding	CIAPIN1
ENSG00000005206	ENSG00000005206	protein_coding	SPPL2B
ENSG00000005238	ENSG00000005238	protein_coding	FAM214B
ENSG00000005302	ENSG00000005302	protein_coding	MSL3
ENSG00000005339	ENSG00000005339	protein_coding	CREBBP
ENSG00000005436	ENSG00000005436	protein_coding	GCFC2
ENSG00000005448	ENSG00000005448	protein_coding	WDR54
ENSG00000005483	ENSG00000005483	protein_coding	KMT2E
ENSG00000005486	ENSG00000005486	protein_coding	RHBDD2
ENSG00000005700	ENSG00000005700	protein_coding	IBTK
ENSG00000005801	ENSG00000005801	protein_coding	ZNF195
ENSG00000005810	ENSG00000005810	protein_coding	MYCBP2
ENSG00000005812	ENSG00000005812	protein_coding	FBXL3
ENSG00000005884	ENSG00000005884	protein_coding	ITGA3
ENSG00000005889	ENSG00000005889	protein_coding	ZFX
ENSG00000005893	ENSG00000005893	protein_coding	LAMP2
ENSG00000006007	ENSG00000006007	protein_coding	GDE1
ENSG00000006015	ENSG00000006015	protein_coding	REX1BD
ENSG00000006025	ENSG00000006025	protein_coding	OSBPL7
ENSG00000006062	ENSG00000006062	protein_coding	MAP3K14
ENSG00000006118	ENSG00000006118	protein_coding	TMEM132A
ENSG00000006125	ENSG00000006125	protein_coding	AP2B1
ENSG00000006194	ENSG00000006194	protein_coding	ZNF263
ENSG00000006282	ENSG00000006282	protein_coding	SPATA20
ENSG00000006327	ENSG00000006327	protein_coding	TNFRSF12A
ENSG00000006432	ENSG00000006432	protein_coding	MAP3K9
ENSG00000006451	ENSG00000006451	protein_coding	RALA
ENSG00000006453	ENSG00000006453	protein_coding	BAIAP2L1
ENSG00000006459	ENSG00000006459	protein_coding	KDM7A
ENSG00000006530	ENSG00000006530	protein_coding	AGK
ENSG00000006534	ENSG00000006534	protein_coding	ALDH3B1
ENSG00000006576	ENSG00000006576	protein_coding	PHTF2
ENSG00000006607	ENSG00000006607	protein_coding	FARP2
ENSG00000006625	ENSG00000006625	protein_coding	GGCT
ENSG00000006634	ENSG00000006634	protein_coding	DBF4
ENSG00000006652	ENSG00000006652	protein_coding	IFRD1
ENSG00000006695	ENSG00000006695	protein_coding	COX10
ENSG00000006704	ENSG00000006704	protein_coding	GTF2IRD1
ENSG00000006712	ENSG00000006712	protein_coding	PAF1
ENSG00000006715	ENSG00000006715	protein_coding	VPS41
