cellline	E	H	M
BT483	1	0	0
CAMA1	1	0	0
EFM19	1	0	0
HCC1500	1	0	0
KPL1	1	0	0
MCF7	1	0	0
MDAMB415	1	0	0
T47D	1	0	0
ZR751	1	0	0
BT474	1	0	0
MDAMB361	1	0	0
BT20	1	0	0
DU4475	1	0	0
HCC1937	1	0	0
HCC70	1	0	0
MDAMB468	1	0	0
HCC1187	0.935483871	0.064516129	0
MDAMB436	0.000708968	0.999291032	0
HCC1143	0.0046875	0.990625	0.0046875
CAL851	1	0	0
HDQP1	0.372727273	0.627272727	0
CAL51	0.011111111	0.988888889	0
MX1	0.002439024	0.997560976	0
HCC38	0.001589825	0.998410175	0
BT549	0	0	1
HS578T	0	0	1
MCF12A	0.008027523	0.991972477	0
AU565	1	0	0
EVSAT	1	0	0
HCC1954	1	0	0
JIMT1	1	0	0
MDAMB453	1	0	0
