cellline	E	H	M
BT483	1	0	0
CAMA1	1	0	0
EFM19	1	0	0
HCC1500	1	0	0
KPL1	1	0	0
MCF7	1	0	0
MDAMB415	1	0	0
T47D	1	0	0
ZR751	1	0	0
BT474	1	0	0
MDAMB361	1	0	0
BT20	1	0	0
DU4475	1	0	0
HCC1937	1	0	0
HCC70	1	0	0
MDAMB468	1	0	0
HCC1187	0.920662598	0.079337402	0
MDAMB436	0.000354484	0.999645516	0
HCC1143	0.00546875	0.99453125	0
CAL851	0.980904523	0.019095477	0
HDQP1	0.445454545	0.554545455	0
CAL51	0.034920635	0.965079365	0
MX1	0.003658537	0.996341463	0
HCC38	0	1	0
BT549	0	1	0
HS578T	0	0	1
MCF12A	0.020642202	0.979357798	0
AU565	1	0	0
EVSAT	1	0	0
HCC1954	1	0	0
JIMT1	0.066901408	0.933098592	0
MDAMB453	1	0	0
