Experiment: Plate 3, T2 and T3, KRT5, KRT8, GRHL2, CDH1 23.05.2023  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	MCF7 T2 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	A2	MCF7 T2 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	65280	A3	MCF7 T3 KRT5			0	
True	65280	A4	MCF7 T3 KRT5			0	
True	255	A5	BT474 T2 KRT5	33.07		0	
True	255	A6	BT474 T2 KRT5	32.80		0	
True	255	A7	BT474 T3 KRT5	32.59		0	
True	255	A8	BT474 T3 KRT5	32.37		0	
True	255	A9	453 T1 KRT5	34.27		0	
True	255	A10	453 T1 KRT5	33.93		0	
True	255	A11	453 T2 KRT5	33.32		0	
True	255	A12	453 T2 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	B1	453 T3 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	B2	453 T3 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	255	B3	HCC T2 KRT5	30.83		0	
True	255	B4	HCC T2 KRT5	30.47		0	
True	255	B5	HCC T3 KRT5	25.69		0	
True	255	B6	HCC T3 KRT5	25.58		0	
True	255	B7	231 T2 KRT5	35.00		0	> - Late Cp call (last five cycles) has higher uncertainty
True	65280	B8	231 T2 KRT5			0	
True	65280	B9	231 T3 KRT5			0	
True	65280	B10	231 T3 KRT5			0	
True	65280	B11	KRT5 NTC			0	
True	65280	B12	KRT5 NTC			0	
True	255	C1	MCF7 T2 KRT8	22.34		0	
True	255	C2	MCF7 T2 KRT8	22.68		0	
True	255	C3	MCF7 T3 KRT8	25.95		0	
True	255	C4	MCF7 T3 KRT8	25.95		0	
True	255	C5	BT474 T2 KRT8	22.14		0	
True	255	C6	BT474 T2 KRT8	22.14		0	
True	255	C7	BT474 T3 KRT8	22.44		0	
True	255	C8	BT474 T3 KRT8	22.35		0	
True	255	C9	453 T1 KRT8	25.70		0	
True	255	C10	453 T1 KRT8	25.81		0	
