"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_ClusterA_celline" "-0.0986905382225355" "0.81615326539589"
"GSE100553" "basal_ClusterA_celline" "0.387801376983692" "0.0911255382496914"
"GSE102369" "basal_ClusterA_celline" "0.347694336609526" "0.499475114253088"
"GSE103865" "basal_ClusterA_celline" "-0.460090440041944" "0.0978491045319839"
"GSE106618" "basal_ClusterA_celline" "-0.214759507984291" "0.424440761212864"
"GSE11259" "basal_ClusterA_celline" "-0.378930653022363" "0.314553272682153"
"GSE112796" "basal_ClusterA_celline" "-0.347250685143596" "0.500060243623469"
"GSE112797" "basal_ClusterA_celline" "0.574930391632435" "0.0032944324534727"
"GSE112910" "basal_ClusterA_celline" "0.84875872931049" "0.0325811424282416"
"GSE113283" "basal_ClusterA_celline" "0.749292271814212" "0.0864025099337635"
"GSE115255" "basal_ClusterA_celline" "-0.0472027249876072" "0.911626268099927"
"GSE117474" "basal_ClusterA_celline" "-0.424636408339713" "0.130175405816144"
"GSE118612" "basal_ClusterA_celline" "0.570242804020769" "0.085208339028706"
"GSE119149" "basal_ClusterA_celline" "0.900630140453286" "6.44474699477301e-05"
"GSE119253" "basal_ClusterA_celline" "-0.234570878494551" "0.576046921622849"
"GSE122008" "basal_ClusterA_celline" "0.255040006012383" "0.378867040518462"
"GSE124648" "basal_ClusterA_celline" "-0.247566819635299" "0.0200451185494006"
"GSE126153" "basal_ClusterA_celline" "-0.344517136543194" "0.503670019053306"
"GSE128190" "basal_ClusterA_celline" "0.113166008305044" "0.789618356429672"
"GSE128958" "basal_ClusterA_celline" "0.420790897230433" "0.299203992360163"
"GSE136031" "basal_ClusterA_celline" "-0.0522428319685026" "0.724351553939443"
"GSE136287" "basal_ClusterA_celline" "0.393512421567487" "0.10617134435883"
"GSE1378" "basal_ClusterA_celline" "-0.301595850362064" "0.0191897014170658"
"GSE140494" "basal_ClusterA_celline" "-0.368251065857359" "0.00032890080695748"
"GSE147271" "basal_ClusterA_celline" "-0.103531264985671" "0.300429144180852"
"GSE148186" "basal_ClusterA_celline" "-0.000253675226398936" "0.999256067766765"
"GSE148843" "basal_ClusterA_celline" "0.265287991088059" "0.0481524345684677"
"GSE151635" "basal_ClusterA_celline" "-0.746033686428276" "0.00533200359930792"
"GSE155570" "basal_ClusterA_celline" "-0.571261974915827" "0.000145741768431832"
"GSE157284" "basal_ClusterA_celline" "0.0456569581263465" "0.683782714790824"
"GSE158309" "basal_ClusterA_celline" "-0.466718274907105" "2.57960992686397e-26"
"GSE159661" "basal_ClusterA_celline" "0.344673491571047" "0.272566293576176"
"GSE17705" "basal_ClusterA_celline" "-0.243914708666722" "2.06817413281701e-05"
"GSE178748" "basal_ClusterA_celline" "0.102187843377122" "0.717062253431442"
"GSE183694" "basal_ClusterA_celline" "-0.014676690962249" "0.963891952287427"
"GSE190596" "basal_ClusterA_celline" "-0.537806954847991" "0.271066220156959"
"GSE23655" "basal_ClusterA_celline" "-0.214759852567883" "0.363209092526707"
"GSE24202" "basal_ClusterA_celline" "0.759527131678032" "6.50988714618683e-05"
"GSE26459" "basal_ClusterA_celline" "-0.277561167659115" "0.189130290391098"
"GSE26541" "basal_ClusterA_celline" "0.757191623404795" "0.0812763674920929"
"GSE27473" "basal_ClusterA_celline" "-0.960338098385229" "0.00232840425636724"
"GSE28448" "basal_ClusterA_celline" "-0.605577811960129" "0.0483293965920486"
