"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.272720338393288" "0.513438563301187"
"GSE100553" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.22362316879622" "0.343253325579926"
"GSE102369" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.55596417477454" "0.251976934608214"
"GSE103865" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.16213625419462" "0.579726877028051"
"GSE106618" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.32835008414463" "0.214368044543147"
"GSE11259" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.295175296990431" "0.440640417104349"
"GSE112796" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.48707648910208" "0.327163133386732"
"GSE112797" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.114128420967931" "0.595414874598196"
"GSE112910" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.777204252412208" "0.0689273561663536"
"GSE113283" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.411126138774438" "0.418056028380347"
"GSE115255" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.166239782871779" "0.693995480020676"
"GSE117474" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.690230549229222" "0.00628928811059928"
"GSE118612" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.356753259485893" "0.311570849701556"
"GSE119149" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.343087165749831" "0.274926051859484"
"GSE119253" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.128819513953846" "0.761122222638953"
"GSE122008" "basal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.214468718788539" "0.461556678184395"
