"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterA_mb" "-0.0720465187872491" "0.865379514242383"
"GSE100553" "basal_clusterA_mb" "0.503966311730922" "0.0234716930789427"
"GSE102369" "basal_clusterA_mb" "0.500703106778847" "0.311709375816948"
"GSE103865" "basal_clusterA_mb" "-0.416075541643246" "0.138941686718438"
"GSE106618" "basal_clusterA_mb" "-0.184470574098291" "0.494017316241672"
"GSE11259" "basal_clusterA_mb" "-0.323246998159455" "0.396163718700678"
"GSE112796" "basal_clusterA_mb" "-0.144099039967903" "0.785347514706518"
"GSE112797" "basal_clusterA_mb" "0.513360238124584" "0.0102986958599922"
"GSE112910" "basal_clusterA_mb" "0.882804413071154" "0.0197973790918303"
"GSE113283" "basal_clusterA_mb" "0.778242700559441" "0.0683118480565741"
"GSE115255" "basal_clusterA_mb" "-0.0326901767272175" "0.938749572487657"
"GSE117474" "basal_clusterA_mb" "-0.557222214469372" "0.0384442114103046"
"GSE118612" "basal_clusterA_mb" "0.616849687321215" "0.0574781251308249"
"GSE119149" "basal_clusterA_mb" "0.906654159363007" "4.76357448477305e-05"
"GSE119253" "basal_clusterA_mb" "-0.0258726870312336" "0.951510356308326"
"GSE122008" "basal_clusterA_mb" "-0.126299169442118" "0.667021754493956"
"GSE124648" "basal_clusterA_mb" "-0.135408029024239" "0.208435111015939"
"GSE126153" "basal_clusterA_mb" "-0.492666086078871" "0.320790795649299"
"GSE128190" "basal_clusterA_mb" "-0.419410822414398" "0.300958871120397"
"GSE128958" "basal_clusterA_mb" "0.41859348523959" "0.30200051111068"
"GSE136031" "basal_clusterA_mb" "-0.119291383160954" "0.419332977992765"
"GSE136287" "basal_clusterA_mb" "0.43260526461071" "0.0729602045107497"
"GSE1378" "basal_clusterA_mb" "-0.10272876475091" "0.434764733554686"
"GSE140494" "basal_clusterA_mb" "-0.231488904029312" "0.0272569509777656"
"GSE147271" "basal_clusterA_mb" "-0.00892361362574657" "0.929069908208974"
"GSE148186" "basal_clusterA_mb" "0.100632538444448" "0.71077060171166"
"GSE148843" "basal_clusterA_mb" "0.410993227912315" "0.00165222472407679"
"GSE151635" "basal_clusterA_mb" "-0.404618071455972" "0.192008861534099"
"GSE155570" "basal_clusterA_mb" "0.411507581941981" "0.0092494327349612"
"GSE157284" "basal_clusterA_mb" "0.488161278640369" "3.28276023073871e-06"
"GSE158309" "basal_clusterA_mb" "-0.348132260025322" "1.39856384387782e-14"
"GSE159661" "basal_clusterA_mb" "0.406168572143515" "0.190148131812856"
"GSE17705" "basal_clusterA_mb" "-0.224347063933389" "9.36563355404507e-05"
"GSE178748" "basal_clusterA_mb" "-0.0133663816270516" "0.962291460064715"
"GSE183694" "basal_clusterA_mb" "-0.36245536351534" "0.246916297120372"
"GSE190596" "basal_clusterA_mb" "-0.550188544041836" "0.257990265127385"
"GSE23655" "basal_clusterA_mb" "0.305164407257813" "0.190760169643345"
"GSE24202" "basal_clusterA_mb" "0.775438926117468" "3.63526905259897e-05"
"GSE26459" "basal_clusterA_mb" "0.494242267502499" "0.0140920891839957"
"GSE26541" "basal_clusterA_mb" "0.751912074882741" "0.0846868173876548"
"GSE27473" "basal_clusterA_mb" "-0.958471678148866" "0.00255109237025116"
"GSE28448" "basal_clusterA_mb" "-0.423652081637913" "0.194134246268994"
"GSE32150" "basal_clusterA_mb" "0.193982605945441" "0.59127325455866"
"GSE32727" "basal_clusterA_mb" "0.243573435618155" "0.445536344080962"
"GSE33146" "basal_clusterA_mb" "0.987736326296482" "0.000224674324944993"
"GSE36081" "basal_clusterA_mb" "0.973876497305239" "0.00101474226202671"
"GSE40057" "basal_clusterA_mb" "-0.228490716224129" "0.475046884956281"
"GSE40690" "basal_clusterA_mb" "0.400396680282918" "0.0802261045119455"
"GSE43495" "basal_clusterA_mb" "-0.6830083177858" "0.00500875547991948"
"GSE46834" "basal_clusterA_mb" "0.934494228188084" "0.000668642599674784"
"GSE49005" "basal_clusterA_mb" "0.0967092650123875" "0.764947533558003"
"GSE52262" "basal_clusterA_mb" "0.353380677447017" "0.0705782244723357"
"GSE52327" "basal_clusterA_mb" "-0.0615321130136592" "0.820908576202244"
