"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterA_t" "-0.0908011303781507" "0.830681367467963"
"GSE100553" "basal_clusterA_t" "0.400554077103479" "0.08009632578222"
"GSE102369" "basal_clusterA_t" "0.34503501190183" "0.502985546219069"
"GSE103865" "basal_clusterA_t" "-0.715124173764181" "0.00404081818619279"
"GSE106618" "basal_clusterA_t" "-0.216491523863436" "0.420623547425402"
"GSE11259" "basal_clusterA_t" "-0.303631130533071" "0.427019331801761"
"GSE112796" "basal_clusterA_t" "-0.156321967296592" "0.767427034423123"
"GSE112797" "basal_clusterA_t" "0.377688940812554" "0.0688219204308334"
"GSE112910" "basal_clusterA_t" "0.862672752887209" "0.0269932475231204"
"GSE113283" "basal_clusterA_t" "0.762300652181226" "0.0780363468871747"
"GSE115255" "basal_clusterA_t" "-0.0769897719282473" "0.856213602136266"
"GSE117474" "basal_clusterA_t" "-0.529050299415267" "0.0517408617106729"
"GSE118612" "basal_clusterA_t" "0.614022742748613" "0.0589607864567707"
"GSE119149" "basal_clusterA_t" "0.913419044296591" "3.30856361467202e-05"
"GSE119253" "basal_clusterA_t" "0.0182927255915348" "0.965708790224668"
"GSE122008" "basal_clusterA_t" "0.0190684823929958" "0.948412290331045"
"GSE124648" "basal_clusterA_t" "-0.333592184885316" "0.00149253487136797"
"GSE126153" "basal_clusterA_t" "-0.446239358957535" "0.375070686388974"
"GSE128190" "basal_clusterA_t" "0.327046189241266" "0.429111086092145"
"GSE128958" "basal_clusterA_t" "0.223147708726016" "0.595280080203612"
"GSE136031" "basal_clusterA_t" "-0.222436868498413" "0.128618086871267"
"GSE136287" "basal_clusterA_t" "0.498301393969183" "0.0353177697671469"
"GSE1378" "basal_clusterA_t" "-0.530985561444071" "1.27347002714134e-05"
"GSE140494" "basal_clusterA_t" "-0.383754555004465" "0.000173328276718801"
"GSE147271" "basal_clusterA_t" "-0.138614922156241" "0.164709422141998"
"GSE148186" "basal_clusterA_t" "0.164139418231373" "0.543557461491127"
"GSE148843" "basal_clusterA_t" "0.304322780414771" "0.0225862885522411"
"GSE151635" "basal_clusterA_t" "-0.512906564356453" "0.0881476892010724"
"GSE155570" "basal_clusterA_t" "0.487589207010892" "0.00164140606703451"
"GSE157284" "basal_clusterA_t" "0.33012381185388" "0.00245441418518412"
"GSE158309" "basal_clusterA_t" "-0.520367680748282" "2.38606882536483e-33"
"GSE159661" "basal_clusterA_t" "0.373293011403374" "0.232007824937443"
"GSE17705" "basal_clusterA_t" "-0.389034506120639" "3.3121956789639e-12"
"GSE178748" "basal_clusterA_t" "0.106687541647016" "0.705107201457326"
"GSE183694" "basal_clusterA_t" "-0.0172841028670991" "0.957481841137672"
"GSE190596" "basal_clusterA_t" "-0.669273312805176" "0.14598274649238"
"GSE23655" "basal_clusterA_t" "-0.120592087441082" "0.612552361611395"
"GSE24202" "basal_clusterA_t" "0.766661401545975" "5.04118089825334e-05"
"GSE26459" "basal_clusterA_t" "0.298226975011592" "0.15693270481039"
"GSE26541" "basal_clusterA_t" "0.782287897232442" "0.0659382194879154"
"GSE27473" "basal_clusterA_t" "-0.957796862480349" "0.002634073119"
"GSE28448" "basal_clusterA_t" "-0.365968579178524" "0.26834360126385"
"GSE32150" "basal_clusterA_t" "0.241980054331646" "0.500589541892704"
"GSE32727" "basal_clusterA_t" "0.149970183461899" "0.641778726540966"
"GSE33146" "basal_clusterA_t" "0.961710405988404" "0.00217107146129941"
"GSE36081" "basal_clusterA_t" "0.968980249486177" "0.00142841339440134"
"GSE40057" "basal_clusterA_t" "-0.346086055789371" "0.270474850829162"
"GSE40690" "basal_clusterA_t" "0.407242873888127" "0.0747239079613276"
"GSE43495" "basal_clusterA_t" "-0.692398223882382" "0.00422584105589967"
"GSE46834" "basal_clusterA_t" "0.920854681984597" "0.00116700629850151"
"GSE49005" "basal_clusterA_t" "0.0108677805249582" "0.973259282660034"
"GSE52262" "basal_clusterA_t" "0.314384073056103" "0.110246497500822"
"GSE52327" "basal_clusterA_t" "-0.12241106519273" "0.65153520689144"
"GSE54133" "basal_clusterA_t" "-0.059560857118023" "0.733953136444697"
"GSE54505" "basal_clusterA_t" "-0.28951953716868" "0.577854684222724"
"GSE55470" "basal_clusterA_t" "0.669337752473687" "5.93192625383189e-10"
"GSE55715" "basal_clusterA_t" "0.959067424037851" "0.000166233402826763"
"GSE62931" "basal_clusterA_t" "-0.518658774477074" "3.24327124028404e-08"
"GSE6532" "basal_clusterA_t" "-0.223764625006438" "0.0372105315654242"
"GSE66527" "basal_clusterA_t" "0.678741716242133" "1.95395958794621e-05"
"GSE67916" "basal_clusterA_t" "-0.21349338755828" "0.39498058584222"
"GSE69363" "basal_clusterA_t" "0.568321372179022" "0.0339682090489335"
"GSE70279" "basal_clusterA_t" "0.550522428453592" "1.10316391338685e-05"
"GSE72480" "basal_clusterA_t" "-0.0361577560088287" "0.945787002010297"
"GSE74377" "basal_clusterA_t" "0.140336628516114" "0.604186962758635"
"GSE77107" "basal_clusterA_t" "0.921469344521856" "0.00318076849069541"
"GSE77408" "basal_clusterA_t" "0.704655971140248" "0.0105017716683326"
"GSE81929" "basal_clusterA_t" "0.837536638908891" "0.0374474586501242"
"GSE85857" "basal_clusterA_t" "0.0322723315003941" "0.951608308620586"
"GSE86024" "basal_clusterA_t" "-0.0649828933040979" "0.858448669550316"
"GSE86301" "basal_clusterA_t" "0.24683741282915" "0.637263623127082"
"GSE89152" "basal_clusterA_t" "-0.0369942424573847" "0.924721846262838"
"GSE90605" "basal_clusterA_t" "-0.186368449102116" "0.658566310685306"
"GSE9195" "basal_clusterA_t" "-0.0602771314501519" "0.602539393936187"
"GSE92333" "basal_clusterA_t" "-0.0626335778262649" "0.86352527373307"
