"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterB_celline" "-0.0883683397758164" "0.835169923582339"
"GSE100553" "basal_clusterB_celline" "0.490034021332612" "0.0282818096136402"
"GSE102369" "basal_clusterB_celline" "0.425917761096586" "0.399755364095698"
"GSE103865" "basal_clusterB_celline" "0.805052358847829" "0.000513228168954185"
"GSE106618" "basal_clusterB_celline" "0.052916415504422" "0.845681843543292"
"GSE11259" "basal_clusterB_celline" "-0.389987324455805" "0.299452783996484"
"GSE112796" "basal_clusterB_celline" "0.00967508175820503" "0.985487830191383"
"GSE112797" "basal_clusterB_celline" "0.354441454673041" "0.0892466815710811"
"GSE112910" "basal_clusterB_celline" "0.79414093699035" "0.0592049878016603"
"GSE113283" "basal_clusterB_celline" "0.640808971334039" "0.170356203508519"
"GSE115255" "basal_clusterB_celline" "0.0424151751026582" "0.92056687882372"
"GSE117474" "basal_clusterB_celline" "0.40073893802231" "0.155614492078567"
"GSE118612" "basal_clusterB_celline" "0.711411073360155" "0.0210483111929068"
"GSE119149" "basal_clusterB_celline" "0.897996419939787" "7.31185547212079e-05"
"GSE119253" "basal_clusterB_celline" "-0.256558746332819" "0.539644651887435"
"GSE122008" "basal_clusterB_celline" "-0.307312750321147" "0.28516334944853"
"GSE124648" "basal_clusterB_celline" "0.62593790492438" "6.97573196832558e-11"
"GSE126153" "basal_clusterB_celline" "-0.719861147140647" "0.106724328126784"
"GSE128190" "basal_clusterB_celline" "0.625831712137057" "0.0969598955442507"
"GSE128958" "basal_clusterB_celline" "0.418782550162584" "0.301759407017343"
"GSE136031" "basal_clusterB_celline" "-0.122663404405107" "0.406211659330182"
"GSE136287" "basal_clusterB_celline" "0.549197677039632" "0.0182439878258308"
"GSE1378" "basal_clusterB_celline" "0.544104572982993" "7.00771371609957e-06"
"GSE140494" "basal_clusterB_celline" "0.617766644738089" "6.88900471305211e-11"
"GSE147271" "basal_clusterB_celline" "0.356994955851268" "0.000230346051026518"
"GSE148186" "basal_clusterB_celline" "-0.439254888063752" "0.0887010462619479"
"GSE148843" "basal_clusterB_celline" "0.587359817791881" "1.94900693483716e-06"
"GSE151635" "basal_clusterB_celline" "-0.499680311539365" "0.0981037538540886"
"GSE155570" "basal_clusterB_celline" "0.699534639166034" "7.234931460511e-07"
"GSE157284" "basal_clusterB_celline" "0.489944497122686" "2.9851661319965e-06"
"GSE158309" "basal_clusterB_celline" "0.727010402087966" "5.79617824952085e-77"
"GSE159661" "basal_clusterB_celline" "0.582892301070819" "0.0466895408864644"
"GSE17705" "basal_clusterB_celline" "0.567408135696392" "8.62105314741093e-27"
"GSE178748" "basal_clusterB_celline" "0.115151594208119" "0.68279390123517"
"GSE183694" "basal_clusterB_celline" "0.213371379642358" "0.505503201678596"
"GSE190596" "basal_clusterB_celline" "0.0351914426891219" "0.947234627169907"
