"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterB_mb" "-0.0106975653996747" "0.979943595081797"
"GSE100553" "basal_clusterB_mb" "0.361212159377811" "0.117641931919906"
"GSE102369" "basal_clusterB_mb" "0.414192889670719" "0.414239251379704"
"GSE103865" "basal_clusterB_mb" "0.888977146345576" "2.11999058519076e-05"
"GSE106618" "basal_clusterB_mb" "0.181340265231803" "0.501502030694301"
"GSE11259" "basal_clusterB_mb" "-0.441208919432207" "0.234513876366949"
"GSE112796" "basal_clusterB_mb" "-0.35862093996614" "0.485129526444406"
"GSE112797" "basal_clusterB_mb" "0.217522602026267" "0.307233919662773"
"GSE112910" "basal_clusterB_mb" "-0.611439972158705" "0.197136160985862"
"GSE113283" "basal_clusterB_mb" "0.606762671076344" "0.201549150755841"
"GSE115255" "basal_clusterB_mb" "0.219988258301929" "0.600636675046978"
"GSE117474" "basal_clusterB_mb" "0.505498912746206" "0.0651869123680538"
"GSE118612" "basal_clusterB_mb" "0.675669063883322" "0.0319968749496613"
"GSE119149" "basal_clusterB_mb" "0.93665180237119" "7.21951175459667e-06"
"GSE119253" "basal_clusterB_mb" "-0.083141952688949" "0.844825756088848"
"GSE122008" "basal_clusterB_mb" "-0.206065550207938" "0.479700767852091"
"GSE124648" "basal_clusterB_mb" "0.64584979511364" "1.08765184689526e-11"
"GSE126153" "basal_clusterB_mb" "0.350030604023579" "0.496397217945697"
"GSE128190" "basal_clusterB_mb" "-0.157176737560399" "0.710111365571512"
"GSE128958" "basal_clusterB_mb" "0.487102074753674" "0.220867772999479"
"GSE136031" "basal_clusterB_mb" "0.0384453696552843" "0.795301862645316"
"GSE136287" "basal_clusterB_mb" "0.343285270846693" "0.163108853724788"
"GSE1378" "basal_clusterB_mb" "0.586960540845127" "8.26167751252531e-07"
"GSE140494" "basal_clusterB_mb" "0.57116818456055" "3.37737455509516e-09"
"GSE147271" "basal_clusterB_mb" "0.451486321684975" "1.90954168383593e-06"
"GSE148186" "basal_clusterB_mb" "-0.54876490906488" "0.0277134961910433"
"GSE148843" "basal_clusterB_mb" "0.169266936681549" "0.212349562536722"
"GSE151635" "basal_clusterB_mb" "0.381486309335809" "0.221102166783582"
"GSE155570" "basal_clusterB_mb" "0.737312025021052" "8.62427180902495e-08"
"GSE157284" "basal_clusterB_mb" "0.359108671334237" "0.000922357128868797"
"GSE158309" "basal_clusterB_mb" "0.720510861116899" "5.45027757262927e-75"
"GSE159661" "basal_clusterB_mb" "0.174042570786148" "0.588525683080178"
"GSE17705" "basal_clusterB_mb" "0.654520886053423" "7.90678710366993e-38"
"GSE178748" "basal_clusterB_mb" "0.441609518147324" "0.0993578092469926"
"GSE183694" "basal_clusterB_mb" "-0.448041128248134" "0.144094995449546"
"GSE190596" "basal_clusterB_mb" "0.430363549712091" "0.39430909121715"
"GSE23655" "basal_clusterB_mb" "-0.461395751752179" "0.040584571012837"
"GSE24202" "basal_clusterB_mb" "0.936285510451489" "4.45705018757413e-10"
"GSE26459" "basal_clusterB_mb" "0.675678647002185" "0.000290652134003918"
"GSE26541" "basal_clusterB_mb" "0.154539340828616" "0.770036374541408"
"GSE27473" "basal_clusterB_mb" "0.960417229843475" "0.00231918448299205"
"GSE28448" "basal_clusterB_mb" "-0.362527185743443" "0.27321204135955"
"GSE32150" "basal_clusterB_mb" "-0.12967733841078" "0.721053125561597"
"GSE32727" "basal_clusterB_mb" "0.935592952998851" "7.82921068473626e-06"
"GSE33146" "basal_clusterB_mb" "0.990536765621617" "0.000133905477759313"
"GSE36081" "basal_clusterB_mb" "0.917493759841974" "0.00993009797208844"
"GSE40057" "basal_clusterB_mb" "0.842359245384985" "0.000584709525182702"
"GSE40690" "basal_clusterB_mb" "0.28465141452086" "0.223835093325476"
"GSE43495" "basal_clusterB_mb" "-0.283456233034109" "0.305941018629357"
"GSE46834" "basal_clusterB_mb" "0.99084167698604" "1.90721666339082e-06"
"GSE49005" "basal_clusterB_mb" "0.0305514852382278" "0.924908195657731"
"GSE52262" "basal_clusterB_mb" "0.5255232310072" "0.0048769379060912"
"GSE52327" "basal_clusterB_mb" "0.127095065981899" "0.639032761572116"
"GSE54133" "basal_clusterB_mb" "-0.112640277082372" "0.519418044244815"
"GSE54505" "basal_clusterB_mb" "0.0632695203691608" "0.905222354410162"
"GSE55470" "basal_clusterB_mb" "0.886539718632149" "1.93168084126467e-23"
"GSE55715" "basal_clusterB_mb" "0.644425385581757" "0.0845500945044783"
"GSE62931" "basal_clusterB_mb" "0.685560796046974" "3.5824340110476e-15"
"GSE6532" "basal_clusterB_mb" "0.355336185476439" "0.000731877073047717"
"GSE66527" "basal_clusterB_mb" "0.438351365147292" "0.0120905278600917"
"GSE67916" "basal_clusterB_mb" "-0.143375391488007" "0.570329585855343"
"GSE69363" "basal_clusterB_mb" "-0.361047434075951" "0.204698300909179"
"GSE70279" "basal_clusterB_mb" "0.0859147030194198" "0.528961738075745"
"GSE72480" "basal_clusterB_mb" "0.781168306059603" "0.0665913347966097"
"GSE74377" "basal_clusterB_mb" "-0.300256285462682" "0.258509865691758"
"GSE77107" "basal_clusterB_mb" "0.807605329433833" "0.0280311407601416"
"GSE77408" "basal_clusterB_mb" "0.684113358853572" "0.0141413039131924"
"GSE81929" "basal_clusterB_mb" "0.826392203450318" "0.042593259943966"
"GSE85857" "basal_clusterB_mb" "0.758295930756015" "0.0805710061900733"
"GSE86024" "basal_clusterB_mb" "0.420339102177482" "0.226470518666614"
"GSE86301" "basal_clusterB_mb" "0.0604183987794168" "0.909482676976084"
"GSE89152" "basal_clusterB_mb" "0.905689170182669" "0.000772670600053218"
"GSE90605" "basal_clusterB_mb" "-0.482213082644882" "0.226233939230083"
"GSE9195" "basal_clusterB_mb" "0.326805500036342" "0.00372084893389054"
"GSE92333" "basal_clusterB_mb" "-0.295103454781888" "0.407802072272605"
"GSE95165" "basal_clusterB_mb" "0.184789335719971" "0.565323717645971"
"GSE96033" "basal_clusterB_mb" "0.280265020738576" "0.259970191352814"
"GSE97726" "basal_clusterB_mb" "0.840878094952736" "1.3748024653431e-10"
"GSE98208" "basal_clusterB_mb" "-0.15372241760527" "0.616086278817821"
"GSE98596" "basal_clusterB_mb" "0.738434094954461" "0.093677343029116"
