"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterB_t" "-0.118908143963687" "0.779139890340847"
"GSE100553" "basal_clusterB_t" "0.433430263522869" "0.0562456938702836"
"GSE102369" "basal_clusterB_t" "0.513900785086859" "0.29700788368385"
"GSE103865" "basal_clusterB_t" "0.903292644901024" "9.56098015866331e-06"
"GSE106618" "basal_clusterB_t" "0.23364193466694" "0.383807018761108"
"GSE11259" "basal_clusterB_t" "-0.406342900035706" "0.277812000489524"
"GSE112796" "basal_clusterB_t" "-0.261394632492459" "0.616838226902245"
"GSE112797" "basal_clusterB_t" "0.366348523970769" "0.0782846492834691"
"GSE112910" "basal_clusterB_t" "0.239133943066013" "0.648136527776749"
"GSE113283" "basal_clusterB_t" "0.564876214506283" "0.242807480589393"
"GSE115255" "basal_clusterB_t" "0.0654381364464015" "0.87765331406116"
"GSE117474" "basal_clusterB_t" "0.531761942871771" "0.0503335982617412"
"GSE118612" "basal_clusterB_t" "0.668181578264125" "0.0347000754772734"
"GSE119149" "basal_clusterB_t" "0.922105864677092" "1.9794366339962e-05"
"GSE119253" "basal_clusterB_t" "-0.36440549496093" "0.374817415227097"
"GSE122008" "basal_clusterB_t" "-0.18568163577536" "0.525071483396396"
"GSE124648" "basal_clusterB_t" "0.675644889160351" "5.14912803525421e-13"
"GSE126153" "basal_clusterB_t" "-0.0856554189501228" "0.871831092089148"
"GSE128190" "basal_clusterB_t" "-0.173773404832545" "0.680674780868945"
"GSE128958" "basal_clusterB_t" "0.469055263257242" "0.241004760322355"
"GSE136031" "basal_clusterB_t" "0.128940544771853" "0.382427349229855"
"GSE136287" "basal_clusterB_t" "0.464473352693035" "0.0521469996381344"
"GSE1378" "basal_clusterB_t" "0.715442559834637" "1.33339982418322e-10"
"GSE140494" "basal_clusterB_t" "0.645573777476003" "4.89391951952533e-12"
"GSE147271" "basal_clusterB_t" "0.525894768178076" "1.37850923294668e-08"
"GSE148186" "basal_clusterB_t" "-0.0914832070486256" "0.736149500355162"
"GSE148843" "basal_clusterB_t" "0.597251891274482" "1.17902492220152e-06"
"GSE151635" "basal_clusterB_t" "0.169550862481464" "0.598331111362935"
"GSE155570" "basal_clusterB_t" "0.470137517071792" "0.00252762509008811"
"GSE157284" "basal_clusterB_t" "0.403872454600798" "0.000168093245008916"
"GSE158309" "basal_clusterB_t" "0.807023977705953" "4.56714964250384e-107"
"GSE159661" "basal_clusterB_t" "0.463735161865195" "0.128885115200415"
"GSE17705" "basal_clusterB_t" "0.717207646090442" "2.39832378554388e-48"
"GSE178748" "basal_clusterB_t" "0.293390251595868" "0.28855377200126"
"GSE183694" "basal_clusterB_t" "-0.432041129034283" "0.160743104191921"
"GSE190596" "basal_clusterB_t" "0.64837524270315" "0.163722517704217"
