"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterC_celline" "0.139264059054766" "0.742236437613687"
"GSE100553" "basal_clusterC_celline" "0.304334111462235" "0.192031120110939"
"GSE102369" "basal_clusterC_celline" "0.513308285876832" "0.297662189761701"
"GSE103865" "basal_clusterC_celline" "-0.0120888989606436" "0.967282942144177"
"GSE106618" "basal_clusterC_celline" "0.350704171398811" "0.182927617050827"
"GSE11259" "basal_clusterC_celline" "0.0272342205511382" "0.944553182104613"
"GSE112796" "basal_clusterC_celline" "-0.53067564044257" "0.27871008350039"
"GSE112797" "basal_clusterC_celline" "0.0183472646419383" "0.932188692707029"
"GSE112910" "basal_clusterC_celline" "-0.82340787010969" "0.044023677118664"
"GSE113283" "basal_clusterC_celline" "0.580521016616601" "0.227037616299286"
"GSE115255" "basal_clusterC_celline" "0.0446907074933784" "0.916316430263433"
"GSE117474" "basal_clusterC_celline" "0.541564322920844" "0.0454778400253637"
"GSE118612" "basal_clusterC_celline" "0.161341820615441" "0.656109484309695"
"GSE119149" "basal_clusterC_celline" "-0.639944567697598" "0.0250089133771091"
"GSE119253" "basal_clusterC_celline" "0.723254634193897" "0.0425989476086292"
"GSE122008" "basal_clusterC_celline" "-0.211244315238503" "0.468479100469446"
"GSE124648" "basal_clusterC_celline" "-0.028748709092917" "0.790327242753566"
"GSE126153" "basal_clusterC_celline" "0.531702556074968" "0.277604344821598"
"GSE128190" "basal_clusterC_celline" "-0.626437747115075" "0.0965399023299338"
"GSE128958" "basal_clusterC_celline" "0.586542037061441" "0.126436730688638"
"GSE136031" "basal_clusterC_celline" "0.0329959322404311" "0.823817899583832"
"GSE136287" "basal_clusterC_celline" "0.331612730082073" "0.178844367132197"
"GSE1378" "basal_clusterC_celline" "0.248291172370325" "0.055764728784334"
"GSE140494" "basal_clusterC_celline" "0.0821285242211096" "0.438969515160656"
"GSE147271" "basal_clusterC_celline" "0.304592124589742" "0.00185428563801701"
"GSE148186" "basal_clusterC_celline" "-0.664064996815415" "0.00502448186871942"
"GSE148843" "basal_clusterC_celline" "-0.141115730210421" "0.299550356411048"
"GSE151635" "basal_clusterC_celline" "0.723993272947022" "0.00776057667851261"
"GSE155570" "basal_clusterC_celline" "0.69985563331031" "7.11513545195037e-07"
"GSE157284" "basal_clusterC_celline" "0.636898664496687" "1.25748965012475e-10"
"GSE158309" "basal_clusterC_celline" "0.250603811367926" "4.9431355731776e-08"
"GSE159661" "basal_clusterC_celline" "-0.260000049232915" "0.414430152278168"
"GSE17705" "basal_clusterC_celline" "0.389480491534607" "3.11412744798678e-12"
"GSE178748" "basal_clusterC_celline" "0.777602766234167" "0.000643774634558277"
"GSE183694" "basal_clusterC_celline" "-0.607534160112932" "0.0361392099191341"
"GSE190596" "basal_clusterC_celline" "-0.769559383884457" "0.0735357864228435"
"GSE23655" "basal_clusterC_celline" "0.394081547799302" "0.0855628763181218"
"GSE24202" "basal_clusterC_celline" "-0.647728806993982" "0.00149958977325299"
"GSE26459" "basal_clusterC_celline" "0.256203143149549" "0.226882872375114"
"GSE26541" "basal_clusterC_celline" "-0.637958968130097" "0.172883532751359"
"GSE27473" "basal_clusterC_celline" "0.961436121625614" "0.00220208349905484"
"GSE28448" "basal_clusterC_celline" "-0.38644791448017" "0.240394986916674"
"GSE32150" "basal_clusterC_celline" "0.246101933513019" "0.493089897595557"
"GSE32727" "basal_clusterC_celline" "0.322820195027839" "0.306097485621422"
"GSE33146" "basal_clusterC_celline" "-0.996128729403348" "2.2451095193484e-05"
"GSE36081" "basal_clusterC_celline" "-0.971010436207294" "0.00124841087387533"
"GSE40057" "basal_clusterC_celline" "0.494097462447823" "0.102523284653682"
"GSE40690" "basal_clusterC_celline" "-0.268524793064925" "0.252318731414462"
"GSE43495" "basal_clusterC_celline" "0.688573912915789" "0.00453201360525737"
"GSE46834" "basal_clusterC_celline" "-0.0538153845915336" "0.89929080275172"
"GSE49005" "basal_clusterC_celline" "-0.476938530428634" "0.116932180043761"
"GSE52262" "basal_clusterC_celline" "-0.163656690744031" "0.414690541635743"
"GSE52327" "basal_clusterC_celline" "-0.208160489376972" "0.439147836341788"
"GSE54133" "basal_clusterC_celline" "-0.163158273115586" "0.349016848497868"
"GSE54505" "basal_clusterC_celline" "-0.202726969324973" "0.700075405219913"
"GSE55470" "basal_clusterC_celline" "0.227295868512718" "0.064345757625401"
"GSE55715" "basal_clusterC_celline" "-0.324014551674566" "0.433654498369786"
"GSE62931" "basal_clusterC_celline" "-0.0645457815676289" "0.523468078516572"
"GSE6532" "basal_clusterC_celline" "0.0575060541606388" "0.596763241465354"
"GSE66527" "basal_clusterC_celline" "-0.230805131885556" "0.203754333946483"
"GSE67916" "basal_clusterC_celline" "0.170947712013781" "0.497631528031911"
"GSE69363" "basal_clusterC_celline" "-0.404681437571262" "0.151208618258241"
"GSE70279" "basal_clusterC_celline" "-0.0600811952298338" "0.660035873208082"
"GSE72480" "basal_clusterC_celline" "0.529363112331646" "0.280125801226893"
