"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterC_mb" "0.110608848547644" "0.794293730257117"
"GSE100553" "basal_clusterC_mb" "0.402180376321238" "0.0787644948414696"
"GSE102369" "basal_clusterC_mb" "0.559669733126664" "0.248148134378788"
"GSE103865" "basal_clusterC_mb" "-0.327127241469939" "0.253601427055084"
"GSE106618" "basal_clusterC_mb" "0.528729426965613" "0.0352309753382612"
"GSE11259" "basal_clusterC_mb" "-0.319694811904919" "0.40167293975625"
"GSE112796" "basal_clusterC_mb" "-0.318739724095363" "0.538081596858929"
"GSE112797" "basal_clusterC_mb" "-0.0921355073958581" "0.66851500791908"
"GSE112910" "basal_clusterC_mb" "-0.83198091432827" "0.0399739956221501"
"GSE113283" "basal_clusterC_mb" "0.147921373025991" "0.779736254465362"
"GSE115255" "basal_clusterC_mb" "0.0808114882065354" "0.849136841152076"
"GSE117474" "basal_clusterC_mb" "0.659318494097775" "0.0103176356147548"
"GSE118612" "basal_clusterC_mb" "-0.434833443492298" "0.209169135538"
"GSE119149" "basal_clusterC_mb" "-0.624206268651803" "0.0300466226748684"
"GSE119253" "basal_clusterC_mb" "0.24691348383383" "0.555509804033876"
"GSE122008" "basal_clusterC_mb" "-0.0548347525072432" "0.852301824656731"
"GSE124648" "basal_clusterC_mb" "-0.174765238308862" "0.103405811465142"
"GSE126153" "basal_clusterC_mb" "0.698491808417385" "0.122656153219345"
"GSE128190" "basal_clusterC_mb" "-0.504684937213298" "0.202121002234464"
"GSE128958" "basal_clusterC_mb" "0.528791920199987" "0.177837324302259"
"GSE136031" "basal_clusterC_mb" "0.0257125495410964" "0.862278396043828"
"GSE136287" "basal_clusterC_mb" "0.304380355480646" "0.219421664151614"
"GSE1378" "basal_clusterC_mb" "0.251034593441328" "0.053026459501095"
"GSE140494" "basal_clusterC_mb" "-0.0607564690727937" "0.567256497359824"
"GSE147271" "basal_clusterC_mb" "0.236086341704845" "0.0169015935371416"
"GSE148186" "basal_clusterC_mb" "-0.417200036692305" "0.107889702691437"
"GSE148843" "basal_clusterC_mb" "-0.0729624944825322" "0.593065006806416"
"GSE151635" "basal_clusterC_mb" "-0.389937812197969" "0.210182357333052"
"GSE155570" "basal_clusterC_mb" "-0.226196996929185" "0.166155601886645"
"GSE157284" "basal_clusterC_mb" "0.628345256480643" "2.62124792583686e-10"
"GSE158309" "basal_clusterC_mb" "0.130846577956061" "0.00489482809493281"
"GSE159661" "basal_clusterC_mb" "-0.267623034914775" "0.400372720291373"
"GSE17705" "basal_clusterC_mb" "0.34655961755037" "7.79699287121928e-10"
"GSE178748" "basal_clusterC_mb" "0.66453050161508" "0.00688261254468433"
"GSE183694" "basal_clusterC_mb" "-0.275452067794598" "0.386190339696482"
"GSE190596" "basal_clusterC_mb" "-0.983670611118629" "0.000397796304730427"
"GSE23655" "basal_clusterC_mb" "0.649333187904781" "0.00194745990556388"
"GSE24202" "basal_clusterC_mb" "-0.626367316515235" "0.00238196969399713"
"GSE26459" "basal_clusterC_mb" "-0.405413507551948" "0.0493658064914386"
"GSE26541" "basal_clusterC_mb" "-0.670048893144412" "0.145341084884722"
"GSE27473" "basal_clusterC_mb" "0.962932040395439" "0.002035584132336"
"GSE28448" "basal_clusterC_mb" "-0.564742672295206" "0.0702780550053678"
"GSE32150" "basal_clusterC_mb" "-0.00465490664687711" "0.989817612345432"
"GSE32727" "basal_clusterC_mb" "0.279372038826484" "0.379187581540099"
"GSE33146" "basal_clusterC_mb" "-0.986508198627386" "0.00027181510885598"
"GSE36081" "basal_clusterC_mb" "-0.97276509136793" "0.00110250975835164"
"GSE40057" "basal_clusterC_mb" "0.495312767829575" "0.101550116332971"
"GSE40690" "basal_clusterC_mb" "-0.268508165557947" "0.252349237041532"
"GSE43495" "basal_clusterC_mb" "0.677791725192112" "0.00549084754724889"
"GSE46834" "basal_clusterC_mb" "-0.0608359975421195" "0.886213636067574"
"GSE49005" "basal_clusterC_mb" "-0.293435723984311" "0.354611958596919"
"GSE52262" "basal_clusterC_mb" "-0.186143667032487" "0.352566183826035"
"GSE52327" "basal_clusterC_mb" "-0.240745840188451" "0.369088657993848"
"GSE54133" "basal_clusterC_mb" "-0.142053344862533" "0.415634572518184"
"GSE54505" "basal_clusterC_mb" "0.00242101343462849" "0.996368486943208"
"GSE55470" "basal_clusterC_mb" "0.387944277546442" "0.00117967800237899"
"GSE55715" "basal_clusterC_mb" "0.0133950476244484" "0.974887289838994"
"GSE62931" "basal_clusterC_mb" "-0.313060150097743" "0.00151727407754751"
"GSE6532" "basal_clusterC_mb" "-0.0445536676410891" "0.681980648953772"
"GSE66527" "basal_clusterC_mb" "-0.265399951869117" "0.142084589909165"
"GSE67916" "basal_clusterC_mb" "-0.0865858386786569" "0.732635083106039"
"GSE69363" "basal_clusterC_mb" "-0.183133274250448" "0.530874119468011"
"GSE70279" "basal_clusterC_mb" "-0.0729411093274679" "0.593173645504759"
"GSE72480" "basal_clusterC_mb" "0.357441087592612" "0.486672443598827"
"GSE74377" "basal_clusterC_mb" "-0.217961338418355" "0.417398301518533"
"GSE77107" "basal_clusterC_mb" "0.559355501050057" "0.191703148298655"
"GSE77408" "basal_clusterC_mb" "-0.0964769903801686" "0.765498110471754"
"GSE81929" "basal_clusterC_mb" "-0.777483567966368" "0.068761553152301"
"GSE85857" "basal_clusterC_mb" "0.306219125568016" "0.555028418755118"
"GSE86024" "basal_clusterC_mb" "0.518074743774675" "0.125033334642042"
"GSE86301" "basal_clusterC_mb" "0.286202568181299" "0.582417847236173"
"GSE89152" "basal_clusterC_mb" "0.70052281143925" "0.0355720958508193"
"GSE90605" "basal_clusterC_mb" "0.267286744249704" "0.522195211379811"
"GSE9195" "basal_clusterC_mb" "0.111268359454386" "0.335345958392172"
"GSE92333" "basal_clusterC_mb" "-0.410201772654391" "0.23903813287401"
"GSE95165" "basal_clusterC_mb" "0.137607632205202" "0.669761830173878"
"GSE96033" "basal_clusterC_mb" "0.0535465685430878" "0.832871697426161"
"GSE97726" "basal_clusterC_mb" "0.525276038115185" "0.00100361091292333"
"GSE98208" "basal_clusterC_mb" "-0.364722242079323" "0.220467280360051"
"GSE98596" "basal_clusterC_mb" "0.619381416351966" "0.189735555882774"
