"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_clusterC_t" "0.18143465722075" "0.667201993557657"
"GSE100553" "basal_clusterC_t" "0.489288952588605" "0.0285593409805362"
"GSE102369" "basal_clusterC_t" "0.470558006879656" "0.346259604863997"
"GSE103865" "basal_clusterC_t" "-0.169130372770335" "0.563252319982293"
"GSE106618" "basal_clusterC_t" "0.315742553702137" "0.23353581578754"
"GSE11259" "basal_clusterC_t" "-0.0874762867289488" "0.822927232851889"
"GSE112796" "basal_clusterC_t" "-0.312732938673762" "0.546193528368791"
"GSE112797" "basal_clusterC_t" "-0.0541881083331791" "0.801443539349022"
"GSE112910" "basal_clusterC_t" "-0.79277410499943" "0.0599644509257332"
"GSE113283" "basal_clusterC_t" "0.463423224163338" "0.354627800901834"
"GSE115255" "basal_clusterC_t" "0.0654645317383966" "0.877604246008637"
"GSE117474" "basal_clusterC_t" "0.544407531188129" "0.0441358029926738"
"GSE118612" "basal_clusterC_t" "0.33152528015538" "0.349376956789207"
"GSE119149" "basal_clusterC_t" "-0.607340156010381" "0.0362149078989591"
"GSE119253" "basal_clusterC_t" "0.347837610265384" "0.398501532554396"
"GSE122008" "basal_clusterC_t" "-0.253069179677413" "0.382688759298515"
"GSE124648" "basal_clusterC_t" "-0.0535839083589295" "0.6200137319625"
"GSE126153" "basal_clusterC_t" "0.61892003394722" "0.190162324707148"
"GSE128190" "basal_clusterC_t" "-0.579384346988666" "0.132285503291626"
"GSE128958" "basal_clusterC_t" "0.574192977338332" "0.136620060929461"
"GSE136031" "basal_clusterC_t" "-0.0282303976118342" "0.848942246492294"
"GSE136287" "basal_clusterC_t" "0.249503501557231" "0.318052990798607"
"GSE1378" "basal_clusterC_t" "0.205222176791092" "0.115719236197305"
"GSE140494" "basal_clusterC_t" "0.0445815408611376" "0.674770014994779"
"GSE147271" "basal_clusterC_t" "0.26890848688456" "0.00627789207737972"
"GSE148186" "basal_clusterC_t" "-0.425105827629466" "0.100704356571197"
"GSE148843" "basal_clusterC_t" "-0.213776373253615" "0.113644151486362"
"GSE151635" "basal_clusterC_t" "-0.18239244815837" "0.570466348935286"
"GSE155570" "basal_clusterC_t" "0.410547494667566" "0.00943096547481821"
"GSE157284" "basal_clusterC_t" "0.594128706723851" "4.00310601376919e-09"
"GSE158309" "basal_clusterC_t" "0.207999521792771" "6.69508293383993e-06"
"GSE159661" "basal_clusterC_t" "-0.165383771599806" "0.607483100806635"
"GSE17705" "basal_clusterC_t" "0.351048174524588" "4.54435336802519e-10"
"GSE178748" "basal_clusterC_t" "0.714666606386366" "0.00275324276522301"
"GSE183694" "basal_clusterC_t" "-0.446345335684914" "0.145804511047585"
"GSE190596" "basal_clusterC_t" "-0.950436774533492" "0.00362389361622917"
"GSE23655" "basal_clusterC_t" "0.267957658872768" "0.253360549319038"
"GSE24202" "basal_clusterC_t" "-0.60296570175121" "0.00381204147218213"
"GSE26459" "basal_clusterC_t" "-0.0670474797936767" "0.755587770378223"
"GSE26541" "basal_clusterC_t" "-0.603516604921306" "0.204635210878767"
"GSE27473" "basal_clusterC_t" "0.961124171799848" "0.00223761792430001"
"GSE28448" "basal_clusterC_t" "-0.405359185136031" "0.216150952185715"
"GSE32150" "basal_clusterC_t" "-0.289487970339057" "0.417198745748201"
"GSE32727" "basal_clusterC_t" "0.444275878723081" "0.147908297051704"
"GSE33146" "basal_clusterC_t" "-0.993343787169692" "6.63103015455582e-05"
"GSE36081" "basal_clusterC_t" "-0.975048199315728" "0.000926121135876933"
"GSE40057" "basal_clusterC_t" "0.506769926551614" "0.0926779020664214"
"GSE40690" "basal_clusterC_t" "-0.192922941575557" "0.415116943096803"
"GSE43495" "basal_clusterC_t" "0.659520121475067" "0.00747534990205896"
"GSE46834" "basal_clusterC_t" "0.161232246815045" "0.702887887025895"
"GSE49005" "basal_clusterC_t" "-0.421417775905744" "0.172442782924298"
"GSE52262" "basal_clusterC_t" "-0.169509940662392" "0.397964009490237"
"GSE52327" "basal_clusterC_t" "-0.260098368016288" "0.330611335578716"
"GSE54133" "basal_clusterC_t" "-0.178757667144322" "0.304212099310128"
"GSE54505" "basal_clusterC_t" "-0.716939384085" "0.108845091361397"
"GSE55470" "basal_clusterC_t" "0.266254334371605" "0.0294172525285283"
"GSE55715" "basal_clusterC_t" "-0.319046420480196" "0.441143222689032"
"GSE62931" "basal_clusterC_t" "-0.123671705634121" "0.220243554898883"
"GSE6532" "basal_clusterC_t" "0.00643975603652358" "0.952794506493679"
"GSE66527" "basal_clusterC_t" "-0.221922821539297" "0.222187934493674"
"GSE67916" "basal_clusterC_t" "-0.144419730901098" "0.567495257673304"
"GSE69363" "basal_clusterC_t" "-0.448156761562167" "0.108029879024237"
"GSE70279" "basal_clusterC_t" "-0.0559562375869641" "0.682088422724272"
"GSE72480" "basal_clusterC_t" "0.581151603080832" "0.226410848841962"
"GSE74377" "basal_clusterC_t" "-0.181549464647572" "0.501000168808268"
"GSE77107" "basal_clusterC_t" "0.630807775990997" "0.128767470009273"
"GSE77408" "basal_clusterC_t" "0.142502517538757" "0.658633605796639"
"GSE81929" "basal_clusterC_t" "-0.602786934287077" "0.205331544209917"
"GSE85857" "basal_clusterC_t" "0.340375702875369" "0.509153664579903"
"GSE86024" "basal_clusterC_t" "0.440419105168306" "0.202712064873144"
"GSE86301" "basal_clusterC_t" "-0.212731359676939" "0.685716500118228"
"GSE89152" "basal_clusterC_t" "0.810654515706831" "0.00803810064127458"
"GSE90605" "basal_clusterC_t" "-0.215766040960657" "0.607819537506586"
"GSE9195" "basal_clusterC_t" "0.0811893985007047" "0.482715753451078"
"GSE92333" "basal_clusterC_t" "-0.49633316915439" "0.144522058376307"
"GSE95165" "basal_clusterC_t" "0.0711437777808269" "0.826095784561995"
"GSE96033" "basal_clusterC_t" "0.128598119086971" "0.611069952592023"
"GSE97726" "basal_clusterC_t" "0.45291206428991" "0.00554095769961666"
"GSE98208" "basal_clusterC_t" "-0.493447596258252" "0.0866007411103183"
"GSE98596" "basal_clusterC_t" "0.652066362345199" "0.160526681137011"
