"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "basal_pEMT" "-0.133658708779789" "0.752358632447364"
"GSE100553" "basal_pEMT" "0.149537445100006" "0.529188557001966"
"GSE102369" "basal_pEMT" "0.36210557360767" "0.480581361823011"
"GSE103865" "basal_pEMT" "0.256641534466851" "0.375776531865274"
"GSE106618" "basal_pEMT" "0.367618377838574" "0.161267552814173"
"GSE11259" "basal_pEMT" "-0.410571185090763" "0.272354191665355"
"GSE112796" "basal_pEMT" "0.00355177573754859" "0.994672358796699"
"GSE112797" "basal_pEMT" "0.112065905838216" "0.602124605130975"
"GSE112910" "basal_pEMT" "-0.835653005244437" "0.0382954012307505"
"GSE113283" "basal_pEMT" "-0.664040695156154" "0.150343344412625"
"GSE115255" "basal_pEMT" "0.802436098749741" "0.0165344206684416"
"GSE117474" "basal_pEMT" "0.601272458514095" "0.022940752011233"
"GSE118612" "basal_pEMT" "0.389562270312725" "0.26580628348458"
"GSE119149" "basal_pEMT" "0.870718262315254" "0.000228027708479358"
"GSE119253" "basal_pEMT" "-0.122677536377323" "0.772277036661358"
"GSE122008" "basal_pEMT" "0.103638206220297" "0.724406187869029"
"GSE124648" "basal_pEMT" "0.0135209727622331" "0.900499721087936"
"GSE126153" "basal_pEMT" "0.538150269237875" "0.270700292161556"
"GSE128190" "basal_pEMT" "0.233757752384466" "0.577408919095441"
"GSE128958" "basal_pEMT" "0.739299223603428" "0.0360867901432796"
"GSE136031" "basal_pEMT" "0.239906627857003" "0.10050860375451"
"GSE136287" "basal_pEMT" "0.29523450928035" "0.234285208736648"
"GSE1378" "basal_pEMT" "0.206367695468946" "0.113655960306362"
"GSE140494" "basal_pEMT" "0.193949175016525" "0.0654584231795367"
"GSE147271" "basal_pEMT" "0.329101052536398" "0.000731770091460014"
"GSE148186" "basal_pEMT" "-0.573901551597937" "0.0200915624905458"
"GSE148843" "basal_pEMT" "-0.0354294691790537" "0.795456713126547"
"GSE151635" "basal_pEMT" "-0.0993613549937152" "0.758668233447661"
"GSE155570" "basal_pEMT" "0.815893029782285" "2.48204108297461e-10"
"GSE157284" "basal_pEMT" "0.646442923716789" "5.39089957496219e-11"
"GSE158309" "basal_pEMT" "0.227695923048524" "7.7878075513383e-07"
"GSE159661" "basal_pEMT" "0.145952850289353" "0.650827350225701"
"GSE17705" "basal_pEMT" "0.434785713881313" "3.57795529861463e-15"
"GSE178748" "basal_pEMT" "0.333252622696338" "0.224828909545323"
"GSE183694" "basal_pEMT" "-0.116557706080793" "0.718291567039478"
"GSE190596" "basal_pEMT" "0.564017331073093" "0.243685345062013"
"GSE23655" "basal_pEMT" "0.355846788252278" "0.123600249724579"
"GSE24202" "basal_pEMT" "0.923144780572189" "2.51229042079399e-09"
"GSE26459" "basal_pEMT" "0.157828905413781" "0.461390018860796"
"GSE26541" "basal_pEMT" "-0.461150670400277" "0.357308131535636"
"GSE27473" "basal_pEMT" "0.957935017256321" "0.00261697794932829"
"GSE28448" "basal_pEMT" "-0.324246317376779" "0.330652977715402"
"GSE32150" "basal_pEMT" "0.517285368189624" "0.125710630059014"
"GSE32727" "basal_pEMT" "0.859854335514161" "0.000334899377397021"
"GSE33146" "basal_pEMT" "-0.0130497386209304" "0.980426503225648"
"GSE36081" "basal_pEMT" "0.972806629366085" "0.00109916464086257"
"GSE40057" "basal_pEMT" "0.581292072511135" "0.0474420865730305"
"GSE40690" "basal_pEMT" "0.349744980603737" "0.130634318187031"
"GSE43495" "basal_pEMT" "0.455096299458988" "0.0882793285125628"
"GSE46834" "basal_pEMT" "0.896975077241367" "0.0025269163320107"
"GSE49005" "basal_pEMT" "-0.27706820255089" "0.383295231867862"
"GSE52262" "basal_pEMT" "0.360983607730398" "0.0643271281962161"
"GSE52327" "basal_pEMT" "-0.350417221199943" "0.183310775110095"
"GSE54133" "basal_pEMT" "-0.223675974924551" "0.196473296568265"
"GSE54505" "basal_pEMT" "-0.345019628806749" "0.503005873967352"
"GSE55470" "basal_pEMT" "0.0945817008052229" "0.446463415688411"
"GSE55715" "basal_pEMT" "-0.312243855991177" "0.451483002420581"
"GSE62931" "basal_pEMT" "-0.0843522647155231" "0.404052249284186"
"GSE6532" "basal_pEMT" "0.0500122419510513" "0.645498911909035"
"GSE66527" "basal_pEMT" "0.356724937301854" "0.045055280562326"
"GSE67916" "basal_pEMT" "0.254572270430399" "0.307992960431735"
"GSE69363" "basal_pEMT" "-0.18160246197526" "0.534373311151576"
"GSE70279" "basal_pEMT" "0.124207149143016" "0.361739274037692"
