# normalize enrichment scores by using the entire data set																																																			
"# as indicated by Barbie et al., 2009, online methods, pg. 2"																																																			
Term|NES	AU565_BREAST	BT20_BREAST	BT474_BREAST	BT483_BREAST	BT549_BREAST	CAL120_BREAST	CAL148_BREAST	CAL51_BREAST	CAL851_BREAST	CAMA1_BREAST	DU4475_BREAST	EFM192A_BREAST	EFM19_BREAST	HCC1143_BREAST	HCC1187_BREAST	HCC1395_BREAST	HCC1419_BREAST	HCC1428_BREAST	HCC1500_BREAST	HCC1569_BREAST	HCC1599_BREAST	HCC1806_BREAST	HCC1937_BREAST	HCC1954_BREAST	HCC202_BREAST	HCC2157_BREAST	HCC2218_BREAST	HCC38_BREAST	HCC70_BREAST	HDQP1_BREAST	HMC18_BREAST	HMEL_BREAST	HS578T_BREAST	JIMT1_BREAST	KPL1_BREAST	MCF7_BREAST	MDAMB134VI_BREAST	MDAMB157_BREAST	MDAMB175VII_BREAST	MDAMB231_BREAST	MDAMB361_BREAST	MDAMB415_BREAST	MDAMB436_BREAST	MDAMB453_BREAST	MDAMB468_BREAST	SKBR3_BREAST	T47D_BREAST	UACC812_BREAST	UACC893_BREAST	ZR751_BREAST	ZR7530_BREAST
																																																			
ClusterA_celline	0.653945136	0.603844119	0.734916044	0.76618362	0.227291772	0.304461745	0.636304172	0.251081674	0.666354457	0.739821826	0.524036391	0.724740541	0.72439818	0.660922436	0.585608585	0.250371248	0.780984009	0.703398013	0.733698125	0.475919216	0.603433384	0.640572188	0.635737703	0.652640827	0.70684081	0.636379379	0.775703484	0.61502104	0.701168786	0.655884271	0.139517801	0.679543661	0.240924747	0.639180498	0.672697702	0.648177612	0.703856716	0.132575223	0.783141605	0.332631479	0.744434107	0.816075393	0.249187771	0.750189674	0.656969618	0.662340594	0.724388204	0.733791589	0.694950597	0.729580955	0.772044174
																																																			
Epi	0.732110762	0.71024683	0.679423237	0.727048145	0.041514658	0.263533752	0.621773061	0.340023562	0.76764597	0.596994638	0.478409413	0.721806526	0.65037188	0.609297798	0.523206849	0.174757523	0.718683096	0.61448605	0.574602853	0.461036996	0.590464752	0.729356871	0.75955195	0.764456745	0.704101455	0.615263003	0.74868343	0.605069241	0.777543144	0.741637123	0.051341217	0.661630775	0.005840035	0.617916882	0.671504319	0.615488711	0.517553669	-0.002247512	0.876861749	0.336150585	0.715477554	0.762000578	0.127119655	0.615131772	0.747935989	0.720696317	0.655414784	0.686899425	0.741166982	0.705910976	0.705467719
																																																			
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.162458521	0.230335319	0.152431143	0.177407692	0.644484825	0.491491722	0.082532792	0.391728186	0.489248721	0.125020766	0.142756589	0.195399302	0.224394467	0.493073712	0.409676206	0.586247211	0.077526272	0.147473086	0.176488497	0.342144171	0.147290914	0.384586161	0.364355878	0.287760487	0.173036462	0.221086666	0.135509978	0.50553548	0.305751368	0.487576256	0.324780954	0.554697601	0.814283029	0.355173563	0.195487959	0.19211578	0.073345951	0.603148976	0.203795499	0.468539256	0.413311672	0.278615354	0.563682873	0.102006599	0.293533135	0.172887665	0.101769914	0.250583624	0.155328536	0.189065462	0.172457697
																																																			
Mes	0.072499848	0.253655062	0.082173948	0.118164244	0.768181365	0.676557262	0.034432061	0.556641923	0.513061573	0.084138056	0.301782199	0.157501291	0.196004809	0.503896147	0.400424254	0.636853565	0.008277055	0.171062162	0.125968563	0.492182755	0.261430475	0.333552278	0.327285697	0.288485777	0.082663947	0.326782108	0.002972052	0.56545286	0.284287413	0.510150064	0.633513797	0.561365863	0.837965959	0.518708118	0.152279463	0.118301422	0.060052852	0.716691106	0.082968566	0.675468112	0.466581914	0.235961955	0.708619776	-0.033740821	0.297867289	0.121772964	0.134948564	0.203953064	0.022990984	0.164568309	0.127205261
																																																			
basal	0.354466699	0.553354512	0.407570479	0.287236919	0.470666635	0.379075629	0.368677338	0.42639337	0.708394543	0.468449891	0.448922417	0.429895286	0.381223247	0.757700482	0.600590432	0.739256409	0.342563763	0.374837891	0.317276923	0.602827238	0.618101188	0.617304703	0.627392983	0.685339732	0.363202431	0.432193575	0.220757145	0.545665167	0.756552492	0.49472368	0.345999909	0.757656423	0.380921065	0.405693236	0.300592938	0.314509278	0.245001893	0.408940541	0.202635966	0.432790444	0.421347226	0.455484238	0.381369025	0.378516723	0.700595316	0.360221473	0.239297668	0.31277604	0.344390901	0.379336792	0.317705766
																																																			
clusterB_celline	0.517920013	0.53746759	0.284116418	0.363975345	0.175651715	0.329579502	0.289860243	0.226148394	0.660175112	0.257133003	0.342347414	0.393388313	0.383106887	0.609642187	0.424691542	0.248879492	0.316529032	0.338605667	0.24613557	0.289589412	0.476510556	0.589914209	0.611232521	0.595860044	0.363535515	0.387518775	0.419793306	0.489245637	0.645726648	0.579355798	0.146249064	0.690812607	0.116656634	0.581689479	0.373971671	0.350795909	0.133115339	0.085728331	0.481508349	0.31308862	0.430079861	0.44629198	0.216696846	0.289533387	0.604199864	0.488397401	0.355939525	0.342161736	0.443031075	0.365911648	0.323033292
																																																			
clusterC_celline	0.090817835	0.092435231	0.007478453	0.016011898	0.526214479	0.444722153	-0.015570108	0.325573444	0.296602431	0.001340736	0.080778823	0.062730513	0.014921343	0.334617043	0.237272788	0.470386573	0.028452564	0.041586853	0.050259399	0.223748387	0.100397647	0.181318267	0.13216396	0.157797952	0.00146348	0.050479795	0.030809482	0.373855257	0.162451529	0.254754186	0.233192791	0.35541879	0.70809383	0.182171089	0.081555049	0.048561526	-0.011639095	0.510727142	0.096454114	0.423557029	0.263689007	0.133655758	0.453489537	-0.048818689	0.174498632	0.070460598	0.001002117	0.058847576	0.03810642	0.061004361	0.063147824
																																																			
pEMT	0.334347129	0.467049707	0.283286921	0.301315128	0.659212627	0.587025648	0.131149878	0.499384132	0.805582246	0.232421604	0.228070394	0.34273999	0.259923672	0.781345554	0.457796854	0.688045662	0.176012441	0.203660214	0.249489688	0.285369922	0.304285319	0.646827626	0.523813294	0.550905924	0.352707629	0.298669449	0.321574346	0.753938059	0.611436278	0.706916313	0.347202756	0.951181311	0.805351604	0.542304674	0.321849223	0.304508696	0.182345421	0.614371799	0.392130117	0.690523192	0.687954672	0.536620401	0.713328473	0.231183415	0.478515694	0.334866977	0.245001822	0.356599641	0.373627179	0.318401813	0.354785517
																																																			
luminal	0.359579978	0.263831251	0.702676283	0.694411924	0.124315965	0.134021211	0.397457961	0.148220554	0.320655042	0.56314223	0.304320191	0.491106702	0.704699913	0.355852532	0.271383432	0.135291093	0.558212623	0.697993636	0.63828419	0.086034374	0.243011778	0.241451844	0.302711588	0.467265462	0.502907488	0.130733468	0.486714892	0.202247698	0.398570748	0.235343747	0.135849942	0.135180131	0.137570227	0.176472285	0.546290297	0.547939682	0.585795914	0.043688182	0.563232816	0.130643518	0.589993977	0.562735757	0.020003054	0.406431793	0.413393527	0.370292019	0.656926729	0.673856248	0.410579837	0.612070194	0.613909297
