"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_ClusterA_celline" "0.979279823947929" "2.18950911388932e-05"
"GSE100553" "luminal_ClusterA_celline" "0.24730054579424" "0.293171693550178"
"GSE102369" "luminal_ClusterA_celline" "0.403832408340869" "0.427180006046688"
"GSE103865" "luminal_ClusterA_celline" "0.652255078937797" "0.0114677671879474"
"GSE106618" "luminal_ClusterA_celline" "-0.217367395098736" "0.41870004253745"
"GSE11259" "luminal_ClusterA_celline" "0.890384773080984" "0.00128786632250087"
"GSE112796" "luminal_ClusterA_celline" "0.458861032235445" "0.360015837640423"
"GSE112797" "luminal_ClusterA_celline" "0.0911790483642664" "0.671767712156324"
"GSE112910" "luminal_ClusterA_celline" "0.983964445048313" "0.000383646850449221"
"GSE113283" "luminal_ClusterA_celline" "-0.208931867099353" "0.691162401136258"
"GSE115255" "luminal_ClusterA_celline" "-0.231934638835866" "0.58046663723933"
"GSE117474" "luminal_ClusterA_celline" "0.424770814873651" "0.130040821479496"
"GSE118612" "luminal_ClusterA_celline" "0.594154353100406" "0.0700954615741064"
"GSE119149" "luminal_ClusterA_celline" "0.825911112395931" "0.000932721696421889"
"GSE119253" "luminal_ClusterA_celline" "-0.506361600894003" "0.200378738861644"
"GSE122008" "luminal_ClusterA_celline" "0.229706167290505" "0.429527559587731"
"GSE124648" "luminal_ClusterA_celline" "0.520316754239543" "2.03680232677036e-07"
"GSE126153" "luminal_ClusterA_celline" "-0.67975062437099" "0.137417159931448"
"GSE128190" "luminal_ClusterA_celline" "0.303626989128729" "0.464720680240505"
"GSE128958" "luminal_ClusterA_celline" "-0.516233988113266" "0.190281343565605"
"GSE136031" "luminal_ClusterA_celline" "0.0152507121540177" "0.918057595341302"
"GSE136287" "luminal_ClusterA_celline" "0.869861300638762" "2.72835814529984e-06"
"GSE1378" "luminal_ClusterA_celline" "0.281117360224639" "0.0295699454069053"
"GSE140494" "luminal_ClusterA_celline" "0.660189821835346" "1.0899804170544e-12"
"GSE147271" "luminal_ClusterA_celline" "0.555045193230038" "1.41376265763389e-09"
"GSE148186" "luminal_ClusterA_celline" "-0.337602861010018" "0.200961574281651"
"GSE148843" "luminal_ClusterA_celline" "0.0403098974777932" "0.768018337045679"
"GSE151635" "luminal_ClusterA_celline" "0.692566818996948" "0.0125462140942494"
"GSE155570" "luminal_ClusterA_celline" "0.786546785959852" "2.93036456239564e-09"
"GSE157284" "luminal_ClusterA_celline" "0.377578038534489" "0.000470491109236362"
"GSE158309" "luminal_ClusterA_celline" "0.737555230342504" "2.73736303633064e-80"
"GSE159661" "luminal_ClusterA_celline" "0.840444304616334" "0.000618991676636711"
"GSE17705" "luminal_ClusterA_celline" "0.575016071699391" "1.26082472396769e-27"
"GSE178748" "luminal_ClusterA_celline" "-0.444910628878783" "0.096560665781051"
"GSE183694" "luminal_ClusterA_celline" "-0.12519413151037" "0.698253515471468"
"GSE190596" "luminal_ClusterA_celline" "0.691668956118909" "0.127945836062358"
"GSE23655" "luminal_ClusterA_celline" "0.749561573056823" "0.000142063976979166"
"GSE24202" "luminal_ClusterA_celline" "0.450690826889666" "0.0403246354704057"
"GSE26459" "luminal_ClusterA_celline" "-0.00343484477779329" "0.987291099806576"
"GSE26541" "luminal_ClusterA_celline" "0.741028961158811" "0.0919149227271262"
"GSE27473" "luminal_ClusterA_celline" "0.999930206709686" "7.30648507413067e-09"
"GSE28448" "luminal_ClusterA_celline" "0.376261726572069" "0.254076858869124"
"GSE32150" "luminal_ClusterA_celline" "0.243454151390239" "0.497901938224107"
"GSE32727" "luminal_ClusterA_celline" "0.812718261203546" "0.00131258169396927"
"GSE33146" "luminal_ClusterA_celline" "-0.813888233209105" "0.0487331530952814"
"GSE36081" "luminal_ClusterA_celline" "-0.138506617206518" "0.793568635411185"
"GSE40057" "luminal_ClusterA_celline" "0.931442262437324" "1.06230999210321e-05"
"GSE40690" "luminal_ClusterA_celline" "0.913546916504656" "1.86598273601178e-08"
"GSE43495" "luminal_ClusterA_celline" "0.899600002302836" "4.99508216684093e-06"
"GSE46834" "luminal_ClusterA_celline" "0.84807935356897" "0.00779734689864431"
"GSE49005" "luminal_ClusterA_celline" "0.27031196706621" "0.3954723537645"
"GSE52262" "luminal_ClusterA_celline" "0.66007216210848" "0.000179493561325719"
"GSE52327" "luminal_ClusterA_celline" "0.940188658987987" "6.26329536007359e-08"
"GSE54133" "luminal_ClusterA_celline" "0.521697226002206" "0.0013087230783309"
"GSE54505" "luminal_ClusterA_celline" "-0.543513890656168" "0.265008162898821"
"GSE55470" "luminal_ClusterA_celline" "0.827260020521581" "6.26626956006019e-18"
"GSE55715" "luminal_ClusterA_celline" "-0.735829618674696" "0.0374395203955125"
"GSE62931" "luminal_ClusterA_celline" "0.689395891667431" "2.18308825043867e-15"
"GSE6532" "luminal_ClusterA_celline" "0.372744631145281" "0.000377285381829707"
"GSE66527" "luminal_ClusterA_celline" "0.513874924694536" "0.00262636832081486"
"GSE67916" "luminal_ClusterA_celline" "0.283389593426293" "0.254469488612106"
"GSE69363" "luminal_ClusterA_celline" "0.489123339019851" "0.0758984394584066"
"GSE70279" "luminal_ClusterA_celline" "0.15716676401851" "0.247350847609408"
"GSE72480" "luminal_ClusterA_celline" "0.46644074375879" "0.351079933416437"
"GSE74377" "luminal_ClusterA_celline" "0.67365023292099" "0.0042233230692962"
"GSE77107" "luminal_ClusterA_celline" "0.979497314512188" "0.000114338856044212"
"GSE77408" "luminal_ClusterA_celline" "0.798265733959725" "0.00185463748018636"
"GSE81929" "luminal_ClusterA_celline" "0.592043435337425" "0.215695026452372"
"GSE85857" "luminal_ClusterA_celline" "-0.0971931246858575" "0.854669380566804"
"GSE86024" "luminal_ClusterA_celline" "0.67335733587905" "0.0328156284207191"
"GSE86301" "luminal_ClusterA_celline" "0.0303950213318042" "0.954421508333795"
"GSE89152" "luminal_ClusterA_celline" "-0.739424154232655" "0.0227950648837934"
"GSE90605" "luminal_ClusterA_celline" "0.274108547772617" "0.51121028626781"
"GSE9195" "luminal_ClusterA_celline" "0.575772978568457" "4.29470012458861e-08"
"GSE92333" "luminal_ClusterA_celline" "0.65378639377962" "0.0403235703932653"
"GSE95165" "luminal_ClusterA_celline" "0.2313776304575" "0.469329828294192"
"GSE96033" "luminal_ClusterA_celline" "0.598009483651513" "0.00875818610193797"
"GSE97726" "luminal_ClusterA_celline" "0.806139921932267" "2.96747971238306e-09"
"GSE98208" "luminal_ClusterA_celline" "-0.545640859531316" "0.0537528727398927"
"GSE98596" "luminal_ClusterA_celline" "0.842317527019768" "0.0353353536653841"
