"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.966205413812521" "9.40607053810154e-05"
"GSE100553" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.0330229604054135" "0.890073689722393"
"GSE102369" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.720857994001522" "0.106004980495111"
"GSE103865" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.117688856525782" "0.688645967765806"
"GSE106618" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.467850520140106" "0.0676252227456043"
"GSE11259" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.729806243233458" "0.0256125043818069"
"GSE112796" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.267199380922992" "0.608739346540382"
"GSE112797" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.133734033539759" "0.533288483884935"
"GSE112910" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.909713605948936" "0.0118594586537407"
"GSE113283" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.301888763305552" "0.560923446799005"
"GSE115255" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.180374690629447" "0.66906147543198"
"GSE117474" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.145797329110749" "0.618953460954683"
"GSE118612" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.464722527008776" "0.175981156757752"
"GSE119149" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.439872032229262" "0.152449710341669"
"GSE119253" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.201526922300948" "0.632243160851961"
"GSE122008" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.0170036099371205" "0.953992869041698"
"GSE124648" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.0646871586012927" "0.54932593139157"
"GSE126153" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "0.665586992249226" "0.149049041896909"
"GSE128190" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.212927381080275" "0.612664175681827"
"GSE128958" "luminal_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION" "-0.643280745059374" "0.0852857167759485"
