"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterA_mb" "0.974940717509706" "3.86053580906108e-05"
"GSE100553" "luminal_clusterA_mb" "0.323383769942945" "0.164285550713836"
"GSE102369" "luminal_clusterA_mb" "0.45861148960961" "0.36031138134234"
"GSE103865" "luminal_clusterA_mb" "0.585708707966391" "0.0277484225547128"
"GSE106618" "luminal_clusterA_mb" "-0.187788503006162" "0.486142411450101"
"GSE11259" "luminal_clusterA_mb" "0.930232120414352" "0.000275739613119721"
"GSE112796" "luminal_clusterA_mb" "0.659017693357895" "0.154580575606355"
"GSE112797" "luminal_clusterA_mb" "0.123307972161325" "0.565945463317698"
"GSE112910" "luminal_clusterA_mb" "0.990539321996029" "0.000133833256154211"
"GSE113283" "luminal_clusterA_mb" "-0.2016798491885" "0.701581866106727"
"GSE115255" "luminal_clusterA_mb" "-0.188863016473027" "0.654212485677842"
"GSE117474" "luminal_clusterA_mb" "0.538554610661521" "0.0469306855187632"
"GSE118612" "luminal_clusterA_mb" "0.610156471907775" "0.0610290493482557"
"GSE119149" "luminal_clusterA_mb" "0.803273790917666" "0.00165040631778077"
"GSE119253" "luminal_clusterA_mb" "-0.661030198733916" "0.0742936972237757"
"GSE122008" "luminal_clusterA_mb" "0.0132079055961819" "0.964256180092391"
"GSE124648" "luminal_clusterA_mb" "0.422447968188817" "4.13309701492285e-05"
"GSE126153" "luminal_clusterA_mb" "-0.241879202618495" "0.644256833801499"
"GSE128190" "luminal_clusterA_mb" "-0.0244164689200219" "0.954237312794083"
"GSE128958" "luminal_clusterA_mb" "-0.413487934750238" "0.308546257019037"
"GSE136031" "luminal_clusterA_mb" "-0.0150758774941603" "0.918993839896228"
"GSE136287" "luminal_clusterA_mb" "0.844526133440919" "1.04126447627459e-05"
"GSE1378" "luminal_clusterA_mb" "0.155095980152231" "0.236701162349937"
"GSE140494" "luminal_clusterA_mb" "0.581795324715977" "1.46678220635769e-09"
"GSE147271" "luminal_clusterA_mb" "0.491066991511982" "1.603579389257e-07"
"GSE148186" "luminal_clusterA_mb" "-0.26134248344129" "0.328219777509149"
"GSE148843" "luminal_clusterA_mb" "0.26345215344646" "0.049781144047911"
"GSE151635" "luminal_clusterA_mb" "0.962848202394284" "5.23680603117831e-07"
"GSE155570" "luminal_clusterA_mb" "-0.503369972903927" "0.00108894286114861"
"GSE157284" "luminal_clusterA_mb" "-0.00139256696044401" "0.990093207685118"
"GSE158309" "luminal_clusterA_mb" "0.668862894858826" "4.28199629215841e-61"
"GSE159661" "luminal_clusterA_mb" "0.711413370029916" "0.00947314284909849"
"GSE17705" "luminal_clusterA_mb" "0.543954349081746" "2.3883256562532e-24"
"GSE178748" "luminal_clusterA_mb" "-0.00813342813084584" "0.97704966318587"
"GSE183694" "luminal_clusterA_mb" "0.0188430138059832" "0.953650466523147"
"GSE190596" "luminal_clusterA_mb" "0.75975862772265" "0.0796409998849547"
"GSE23655" "luminal_clusterA_mb" "0.433025280432392" "0.0565020093119692"
"GSE24202" "luminal_clusterA_mb" "0.515339021882092" "0.0168074496431858"
"GSE26459" "luminal_clusterA_mb" "-0.623755749120342" "0.00112623976455729"
"GSE26541" "luminal_clusterA_mb" "0.736238718904761" "0.0951800821767442"
"GSE27473" "luminal_clusterA_mb" "0.99988322909072" "2.04523717694046e-08"
"GSE28448" "luminal_clusterA_mb" "0.217828110923444" "0.519942714690239"
"GSE32150" "luminal_clusterA_mb" "0.371763872912849" "0.290148496474335"
"GSE32727" "luminal_clusterA_mb" "0.754370522460472" "0.00458217075297445"
"GSE33146" "luminal_clusterA_mb" "-0.806107099201957" "0.0527470363109417"
"GSE36081" "luminal_clusterA_mb" "-0.210692923199472" "0.688637103481695"
"GSE40057" "luminal_clusterA_mb" "0.848417476214736" "0.000485847974691708"
"GSE40690" "luminal_clusterA_mb" "0.907215795777139" "3.44245098130136e-08"
"GSE43495" "luminal_clusterA_mb" "0.908018535392257" "2.88658509877654e-06"
"GSE46834" "luminal_clusterA_mb" "0.832945218283354" "0.0102436266305708"
"GSE49005" "luminal_clusterA_mb" "0.355733973540909" "0.256438407499609"
"GSE52262" "luminal_clusterA_mb" "0.618013340985394" "0.000592071467039085"
"GSE52327" "luminal_clusterA_mb" "0.9260448717884" "2.66395697754849e-07"
"GSE54133" "luminal_clusterA_mb" "0.502886618024604" "0.00207722314425953"
"GSE54505" "luminal_clusterA_mb" "-0.46971330415506" "0.347246605034535"
"GSE55470" "luminal_clusterA_mb" "0.825747459747179" "8.1121313267123e-18"
"GSE55715" "luminal_clusterA_mb" "0.192313282463954" "0.648204688662276"
"GSE62931" "luminal_clusterA_mb" "0.604714992166857" "2.68865413759745e-11"
"GSE6532" "luminal_clusterA_mb" "0.445129272921498" "1.56081577000556e-05"
"GSE66527" "luminal_clusterA_mb" "0.545541383123357" "0.00124100781944791"
"GSE67916" "luminal_clusterA_mb" "-0.5719593357227" "0.0131336333779889"
