"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterA_t" "0.986253403987659" "6.42742712836137e-06"
"GSE100553" "luminal_clusterA_t" "0.294030336970387" "0.208277552797334"
"GSE102369" "luminal_clusterA_t" "0.0743163423405023" "0.888730708049105"
"GSE103865" "luminal_clusterA_t" "0.803054907906222" "0.000543077219938469"
"GSE106618" "luminal_clusterA_t" "0.143761422608906" "0.595299637112866"
"GSE11259" "luminal_clusterA_t" "0.942182363233812" "0.000144570473131815"
"GSE112796" "luminal_clusterA_t" "0.866051753245908" "0.0257115405963793"
"GSE112797" "luminal_clusterA_t" "0.161369237584469" "0.451269487750156"
"GSE112910" "luminal_clusterA_t" "0.975161085073764" "0.000917795088350779"
"GSE113283" "luminal_clusterA_t" "-0.134942988943848" "0.798814146202566"
"GSE115255" "luminal_clusterA_t" "-0.211888739337366" "0.614439865590574"
"GSE117474" "luminal_clusterA_t" "0.312935934917357" "0.275982320570531"
"GSE118612" "luminal_clusterA_t" "0.642127879073309" "0.0453039660827042"
"GSE119149" "luminal_clusterA_t" "0.805855631861708" "0.00155210502180451"
"GSE119253" "luminal_clusterA_t" "-0.740259678362905" "0.0357176851114892"
"GSE122008" "luminal_clusterA_t" "0.0521762091125494" "0.859396136646896"
"GSE124648" "luminal_clusterA_t" "0.583586661939984" "2.4120751053443e-09"
"GSE126153" "luminal_clusterA_t" "-0.681124999461021" "0.136310092082809"
"GSE128190" "luminal_clusterA_t" "-0.246585764590492" "0.556051730566253"
"GSE128958" "luminal_clusterA_t" "-0.599060112638432" "0.116563105654919"
"GSE136031" "luminal_clusterA_t" "0.0433842863617982" "0.769682715731324"
"GSE136287" "luminal_clusterA_t" "0.848554809537157" "8.55366159266944e-06"
"GSE1378" "luminal_clusterA_t" "0.435712325787553" "0.000502119685332098"
"GSE140494" "luminal_clusterA_t" "0.729942609713322" "2.24311367149998e-16"
"GSE147271" "luminal_clusterA_t" "0.537377766900701" "5.7676691715501e-09"
"GSE148186" "luminal_clusterA_t" "-0.27333968675973" "0.305672206734269"
"GSE148843" "luminal_clusterA_t" "0.194223094460304" "0.151472260844043"
"GSE151635" "luminal_clusterA_t" "0.914668683739016" "3.08322227047517e-05"
"GSE155570" "luminal_clusterA_t" "-0.678582328638199" "2.05732488877241e-06"
"GSE157284" "luminal_clusterA_t" "0.166360083764471" "0.135238861040026"
"GSE158309" "luminal_clusterA_t" "0.769958280533189" "1.33603103704007e-91"
"GSE159661" "luminal_clusterA_t" "0.788437732744672" "0.00231120116799476"
"GSE17705" "luminal_clusterA_t" "0.555578023063337" "1.55489540365383e-25"
"GSE178748" "luminal_clusterA_t" "0.194136288240762" "0.488122270429863"
"GSE183694" "luminal_clusterA_t" "-0.0875310676505355" "0.786776918165237"
"GSE190596" "luminal_clusterA_t" "0.792697808957838" "0.0600069748718935"
"GSE23655" "luminal_clusterA_t" "0.751534317654607" "0.000133355320027489"
"GSE24202" "luminal_clusterA_t" "0.5035897303582" "0.0199447418522542"
"GSE26459" "luminal_clusterA_t" "-0.506915076135655" "0.0114694509288262"
"GSE26541" "luminal_clusterA_t" "0.764564385908565" "0.0766198029600143"
"GSE27473" "luminal_clusterA_t" "0.999935027532953" "6.33199507325772e-09"
"GSE28448" "luminal_clusterA_t" "0.402200042423353" "0.22009608282179"
"GSE32150" "luminal_clusterA_t" "0.403944659422789" "0.246986434220849"
"GSE32727" "luminal_clusterA_t" "0.796316182066551" "0.0019391684255115"
"GSE33146" "luminal_clusterA_t" "-0.749448900413558" "0.0862995006945137"
"GSE36081" "luminal_clusterA_t" "-0.189615808875637" "0.71898502477561"
"GSE40057" "luminal_clusterA_t" "0.907352888629871" "4.59347924434274e-05"
"GSE40690" "luminal_clusterA_t" "0.905612852839445" "3.99217355769359e-08"
"GSE43495" "luminal_clusterA_t" "0.910024699307619" "2.51355214646871e-06"
"GSE46834" "luminal_clusterA_t" "0.791520431232938" "0.0192588839683898"
"GSE49005" "luminal_clusterA_t" "0.475755221974744" "0.117972404795095"
"GSE52262" "luminal_clusterA_t" "0.674705420701456" "0.000113401149621865"
"GSE52327" "luminal_clusterA_t" "0.935298526955102" "1.07151819316755e-07"
"GSE54133" "luminal_clusterA_t" "0.506878926149926" "0.0018873320913525"
"GSE54505" "luminal_clusterA_t" "-0.775343123361538" "0.0700367720467852"
"GSE55470" "luminal_clusterA_t" "0.862497772722161" "6.7457340137453e-21"
"GSE55715" "luminal_clusterA_t" "-0.650181616772844" "0.0809068286249566"
"GSE62931" "luminal_clusterA_t" "0.765761184483018" "1.7024101473151e-20"
"GSE6532" "luminal_clusterA_t" "0.36500233827882" "0.000508921483866446"
"GSE66527" "luminal_clusterA_t" "0.473809024757108" "0.00615665403618248"
"GSE67916" "luminal_clusterA_t" "-0.592175111792651" "0.0096177540065569"
"GSE69363" "luminal_clusterA_t" "0.603036548162509" "0.0224382807069235"
"GSE70279" "luminal_clusterA_t" "0.0335924086179376" "0.805850899130743"
"GSE72480" "luminal_clusterA_t" "0.528494556675256" "0.281064146492183"
"GSE74377" "luminal_clusterA_t" "0.646632761640877" "0.00679043100641887"
"GSE77107" "luminal_clusterA_t" "0.986285910819543" "4.1992630955141e-05"
"GSE77408" "luminal_clusterA_t" "0.809498002780477" "0.00142114126536992"
"GSE81929" "luminal_clusterA_t" "0.585068837301833" "0.222532897473942"
"GSE85857" "luminal_clusterA_t" "-0.122551992257159" "0.817092315236758"
"GSE86024" "luminal_clusterA_t" "0.652544096262203" "0.0408358309128619"
"GSE86301" "luminal_clusterA_t" "0.561988063686015" "0.245764413571351"
"GSE89152" "luminal_clusterA_t" "-0.785533804854492" "0.0121084827927286"
"GSE90605" "luminal_clusterA_t" "-0.137451905224029" "0.745505382158649"
"GSE9195" "luminal_clusterA_t" "0.557037426250882" "1.42986876204073e-07"
"GSE92333" "luminal_clusterA_t" "0.617964564552465" "0.0569002365481152"
"GSE95165" "luminal_clusterA_t" "0.0372639188525968" "0.908465399829936"
"GSE96033" "luminal_clusterA_t" "0.674471127915657" "0.00213974652306856"
"GSE97726" "luminal_clusterA_t" "0.800542633166683" "4.59624678766022e-09"
"GSE98208" "luminal_clusterA_t" "-0.578639845328116" "0.038278749176114"
"GSE98596" "luminal_clusterA_t" "0.939079850071552" "0.00545385160097868"
