"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterB_celline" "0.974464241112976" "4.08348921399019e-05"
"GSE100553" "luminal_clusterB_celline" "0.310089287540402" "0.183337857856312"
"GSE102369" "luminal_clusterB_celline" "0.342575108378679" "0.506239251666264"
"GSE103865" "luminal_clusterB_celline" "-0.600607579497853" "0.0231323109971065"
"GSE106618" "luminal_clusterB_celline" "-0.33715089315467" "0.20160350080487"
"GSE11259" "luminal_clusterB_celline" "0.862001262000194" "0.00280121959280428"
"GSE112796" "luminal_clusterB_celline" "0.237891002022513" "0.649894876084787"
"GSE112797" "luminal_clusterB_celline" "0.125480350373938" "0.559068060958543"
"GSE112910" "luminal_clusterB_celline" "0.633495419936964" "0.176872935680183"
"GSE113283" "luminal_clusterB_celline" "-0.329151630508938" "0.524102829041671"
"GSE115255" "luminal_clusterB_celline" "-0.130989026958611" "0.757190520854932"
"GSE117474" "luminal_clusterB_celline" "0.273179649123433" "0.344662366906683"
"GSE118612" "luminal_clusterB_celline" "0.656053031546108" "0.0394000991410044"
"GSE119149" "luminal_clusterB_celline" "0.785728900854106" "0.00245094256723878"
"GSE119253" "luminal_clusterB_celline" "-0.573971101878629" "0.136807050411051"
"GSE122008" "luminal_clusterB_celline" "0.00348347218056881" "0.990570322658373"
"GSE124648" "luminal_clusterB_celline" "-0.401041238022252" "0.000107871240190749"
"GSE126153" "luminal_clusterB_celline" "-0.421231021988324" "0.405524151079914"
"GSE128190" "luminal_clusterB_celline" "-0.208299844308513" "0.620588095110066"
"GSE128958" "luminal_clusterB_celline" "-0.770468519147815" "0.025266512289716"
"GSE136031" "luminal_clusterB_celline" "-0.00993923883966937" "0.946543877738894"
"GSE136287" "luminal_clusterB_celline" "0.631813298744947" "0.00491164418661316"
"GSE1378" "luminal_clusterB_celline" "-0.17028124164794" "0.193337261220671"
"GSE140494" "luminal_clusterB_celline" "-0.530960677225726" "6.15537289978528e-08"
"GSE147271" "luminal_clusterB_celline" "-0.312870179952553" "0.00136633085598735"
"GSE148186" "luminal_clusterB_celline" "-0.558291646166782" "0.0246019563540176"
"GSE148843" "luminal_clusterB_celline" "0.28042700826816" "0.0363135802441712"
"GSE151635" "luminal_clusterB_celline" "0.958026177938179" "9.56128613394012e-07"
"GSE155570" "luminal_clusterB_celline" "-0.714938091714229" "3.16602218566895e-07"
"GSE157284" "luminal_clusterB_celline" "-0.281766857222109" "0.0103317641416054"
"GSE158309" "luminal_clusterB_celline" "-0.422071490243556" "2.43638929926391e-21"
"GSE159661" "luminal_clusterB_celline" "0.430199660321784" "0.162734012652107"
"GSE17705" "luminal_clusterB_celline" "-0.00894194837240204" "0.877833439436687"
"GSE178748" "luminal_clusterB_celline" "0.454538368102103" "0.0887194542433103"
"GSE183694" "luminal_clusterB_celline" "-0.402987476000438" "0.193977795173542"
"GSE190596" "luminal_clusterB_celline" "-0.505050053383928" "0.306837881618321"
"GSE23655" "luminal_clusterB_celline" "0.464246079323912" "0.0392012187344617"
"GSE24202" "luminal_clusterB_celline" "0.423822952346504" "0.055537656892972"
"GSE26459" "luminal_clusterB_celline" "-0.619587735649878" "0.00124280533113287"
"GSE26541" "luminal_clusterB_celline" "0.76898593735202" "0.0738869245477244"
"GSE27473" "luminal_clusterB_celline" "0.998697446490935" "2.54386348009965e-06"
"GSE28448" "luminal_clusterB_celline" "0.373274391131572" "0.258171849038416"
"GSE32150" "luminal_clusterB_celline" "-0.326105541456892" "0.357787895445631"
"GSE32727" "luminal_clusterB_celline" "0.369774399055555" "0.236787802174784"
"GSE33146" "luminal_clusterB_celline" "-0.864385298529982" "0.0263399523484074"
"GSE36081" "luminal_clusterB_celline" "-0.19833708973725" "0.706395418060325"
"GSE40057" "luminal_clusterB_celline" "0.309178137369077" "0.328137883851731"
"GSE40690" "luminal_clusterB_celline" "0.890977263534734" "1.38278516069671e-07"
"GSE43495" "luminal_clusterB_celline" "0.912150707629263" "2.16304735170032e-06"
"GSE46834" "luminal_clusterB_celline" "0.853636529864419" "0.00700331808670865"
"GSE49005" "luminal_clusterB_celline" "0.282181729038079" "0.374208985482944"
"GSE52262" "luminal_clusterB_celline" "0.261394236796402" "0.187835216706019"
"GSE52327" "luminal_clusterB_celline" "0.656950754140307" "0.0056942728181833"
"GSE54133" "luminal_clusterB_celline" "0.399556718016532" "0.0174086241957937"
"GSE54505" "luminal_clusterB_celline" "-0.36381739690383" "0.478351903577229"
"GSE55470" "luminal_clusterB_celline" "0.571338931379332" "4.43502785685496e-07"
"GSE55715" "luminal_clusterB_celline" "-0.353294682388925" "0.390629973405783"
"GSE62931" "luminal_clusterB_celline" "-0.454373376201705" "2.04858193533127e-06"
"GSE6532" "luminal_clusterB_celline" "0.185185051924991" "0.0859436221624721"
"GSE66527" "luminal_clusterB_celline" "0.61889460854032" "0.00015935356641962"
"GSE67916" "luminal_clusterB_celline" "-0.874094840220538" "2.12340736158751e-06"
"GSE69363" "luminal_clusterB_celline" "0.346786088616311" "0.224470823788487"
"GSE70279" "luminal_clusterB_celline" "0.321952055346576" "0.0155316055067446"
"GSE72480" "luminal_clusterB_celline" "0.698209043118593" "0.122873447044884"
"GSE74377" "luminal_clusterB_celline" "0.56880598043812" "0.0214870255458662"
"GSE77107" "luminal_clusterB_celline" "0.944403176440267" "0.00135837458875923"
"GSE77408" "luminal_clusterB_celline" "0.807066175802262" "0.00150759309342901"
"GSE81929" "luminal_clusterB_celline" "0.593101131607125" "0.214665584430052"
"GSE85857" "luminal_clusterB_celline" "-0.239060167287392" "0.648240865090262"
"GSE86024" "luminal_clusterB_celline" "0.712341890271908" "0.020803987083635"
"GSE86301" "luminal_clusterB_celline" "0.725406396255349" "0.102750065807347"
"GSE89152" "luminal_clusterB_celline" "-0.760513506377472" "0.0173510775475254"
"GSE90605" "luminal_clusterB_celline" "-0.29904019496598" "0.471829969576267"
"GSE9195" "luminal_clusterB_celline" "0.203015865086794" "0.0765923948227707"
"GSE92333" "luminal_clusterB_celline" "0.658202638071485" "0.0385375704281329"
"GSE95165" "luminal_clusterB_celline" "-0.116945001993201" "0.717389370099995"
"GSE96033" "luminal_clusterB_celline" "0.541034300402153" "0.020417782768191"
"GSE97726" "luminal_clusterB_celline" "0.351643744451793" "0.0354576350888878"
"GSE98208" "luminal_clusterB_celline" "-0.47245262282809" "0.103043171983453"
"GSE98596" "luminal_clusterB_celline" "0.177013050179374" "0.737253654549761"
