"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterB_mb" "0.592659763360268" "0.121554923896451"
"GSE100553" "luminal_clusterB_mb" "-0.113263213734619" "0.634467423400257"
"GSE102369" "luminal_clusterB_mb" "0.602334855947008" "0.205763451052231"
"GSE103865" "luminal_clusterB_mb" "-0.804003270526694" "0.000528736168856315"
"GSE106618" "luminal_clusterB_mb" "-0.337196251898951" "0.201539018284807"
"GSE11259" "luminal_clusterB_mb" "0.491278291321383" "0.179251822105325"
"GSE112796" "luminal_clusterB_mb" "-0.241923307261522" "0.644194548092272"
"GSE112797" "luminal_clusterB_mb" "0.0154534309163434" "0.942865659047272"
"GSE112910" "luminal_clusterB_mb" "-0.784794678820996" "0.0644865578384968"
"GSE113283" "luminal_clusterB_mb" "-0.481065119251071" "0.334067243765635"
"GSE115255" "luminal_clusterB_mb" "0.368943698408722" "0.368442592578967"
"GSE117474" "luminal_clusterB_mb" "0.053991910811956" "0.854549845325515"
"GSE118612" "luminal_clusterB_mb" "0.695118922286509" "0.0256513603684981"
"GSE119149" "luminal_clusterB_mb" "0.733086829210058" "0.00667534418638754"
"GSE119253" "luminal_clusterB_mb" "-0.622474139010809" "0.0993057621193417"
"GSE122008" "luminal_clusterB_mb" "0.0303460859847405" "0.917978138812056"
"GSE124648" "luminal_clusterB_mb" "-0.560498795794029" "1.35604957741354e-08"
"GSE126153" "luminal_clusterB_mb" "0.79922079146155" "0.0564215009733445"
"GSE128190" "luminal_clusterB_mb" "0.444867502843356" "0.269392392679136"
"GSE128958" "luminal_clusterB_mb" "-0.760116379859581" "0.0285988808923637"
"GSE136031" "luminal_clusterB_mb" "0.435262024644503" "0.0019891662233977"
"GSE136287" "luminal_clusterB_mb" "-0.093718568766892" "0.7114683485084"
"GSE1378" "luminal_clusterB_mb" "-0.207037930607045" "0.112461904130383"
"GSE140494" "luminal_clusterB_mb" "-0.688783342877161" "4.4785783496086e-14"
"GSE147271" "luminal_clusterB_mb" "-0.598819149260576" "2.97318079099966e-11"
"GSE148186" "luminal_clusterB_mb" "-0.846994712519446" "3.47761225333578e-05"
"GSE148843" "luminal_clusterB_mb" "0.261024228749099" "0.0520038003963229"
"GSE151635" "luminal_clusterB_mb" "-0.921531325851948" "2.0514965717852e-05"
"GSE155570" "luminal_clusterB_mb" "-0.846603701045595" "1.1179266845923e-11"
"GSE157284" "luminal_clusterB_mb" "-0.292277240090946" "0.00771022534874611"
"GSE158309" "luminal_clusterB_mb" "-0.661935491438176" "1.92812617392677e-59"
"GSE159661" "luminal_clusterB_mb" "-0.896843058756914" "7.71923419130802e-05"
"GSE17705" "luminal_clusterB_mb" "-0.275188347208181" "1.40721352541699e-06"
"GSE178748" "luminal_clusterB_mb" "0.186289500917372" "0.506203454024789"
"GSE183694" "luminal_clusterB_mb" "0.703779102762591" "0.0106410956507359"
"GSE190596" "luminal_clusterB_mb" "-0.895526247674088" "0.0158019941638462"
"GSE23655" "luminal_clusterB_mb" "0.178160439559667" "0.452352709200532"
"GSE24202" "luminal_clusterB_mb" "-0.066298396986571" "0.77523985052736"
"GSE26459" "luminal_clusterB_mb" "-0.424103421863481" "0.0388844454094668"
"GSE26541" "luminal_clusterB_mb" "0.158712964096752" "0.763929528160964"
"GSE27473" "luminal_clusterB_mb" "-0.998964424885132" "1.60806844423422e-06"
"GSE28448" "luminal_clusterB_mb" "0.16441898683469" "0.629028995049513"
"GSE32150" "luminal_clusterB_mb" "-0.857833334433003" "0.00149998397021142"
"GSE32727" "luminal_clusterB_mb" "-0.612062695814868" "0.0344041579175144"
"GSE33146" "luminal_clusterB_mb" "-0.900184522448624" "0.0144474570708046"
"GSE36081" "luminal_clusterB_mb" "-0.0380948632666739" "0.942885347087197"
"GSE40057" "luminal_clusterB_mb" "-0.928563218929488" "1.29848658358264e-05"
"GSE40690" "luminal_clusterB_mb" "0.489744988851988" "0.0283892186583697"
"GSE43495" "luminal_clusterB_mb" "0.325288104930492" "0.236785667088269"
"GSE46834" "luminal_clusterB_mb" "0.820394426921517" "0.0126033455822164"
"GSE49005" "luminal_clusterB_mb" "0.459791679925457" "0.132603749146621"
"GSE52262" "luminal_clusterB_mb" "-0.486736754011318" "0.0100343021088754"
"GSE52327" "luminal_clusterB_mb" "-0.180393174198171" "0.503777021744081"
"GSE54133" "luminal_clusterB_mb" "0.330499123246329" "0.0524852678821263"
"GSE54505" "luminal_clusterB_mb" "-0.357694286326543" "0.486341204453509"
"GSE55470" "luminal_clusterB_mb" "0.21994243988998" "0.0737121799110165"
"GSE55715" "luminal_clusterB_mb" "-0.59219880817725" "0.121918995016076"
"GSE62931" "luminal_clusterB_mb" "-0.655968692131631" "1.28710953143135e-13"
"GSE6532" "luminal_clusterB_mb" "-0.147017984713215" "0.17419254281364"
"GSE66527" "luminal_clusterB_mb" "-0.274694713678856" "0.128128160105199"
"GSE67916" "luminal_clusterB_mb" "-0.955803526289271" "6.37053212518502e-10"
"GSE69363" "luminal_clusterB_mb" "-0.404338031092025" "0.151589069380275"
"GSE70279" "luminal_clusterB_mb" "-0.301123133930113" "0.0241207803981173"
"GSE72480" "luminal_clusterB_mb" "0.605682045739486" "0.202574384893753"
"GSE74377" "luminal_clusterB_mb" "0.257526740602255" "0.33558638854692"
"GSE77107" "luminal_clusterB_mb" "0.862303057845473" "0.0125300389754129"
"GSE77408" "luminal_clusterB_mb" "0.7925401974644" "0.0021112527108536"
"GSE81929" "luminal_clusterB_mb" "0.689582516066669" "0.12958276010571"
"GSE85857" "luminal_clusterB_mb" "-0.662005069835744" "0.152054492009551"
"GSE86024" "luminal_clusterB_mb" "0.654977058506638" "0.0398366753531909"
"GSE86301" "luminal_clusterB_mb" "0.43719690233174" "0.385987801782373"
"GSE89152" "luminal_clusterB_mb" "-0.367212662443137" "0.330964973103996"
"GSE90605" "luminal_clusterB_mb" "-0.356966377595089" "0.385372549532025"
"GSE9195" "luminal_clusterB_mb" "-0.153850383906204" "0.181575713919437"
"GSE92333" "luminal_clusterB_mb" "0.543535000581696" "0.104394432755922"
"GSE95165" "luminal_clusterB_mb" "-0.0377266456586241" "0.907333048479742"
"GSE96033" "luminal_clusterB_mb" "-0.492562680932779" "0.0378289025395172"
"GSE97726" "luminal_clusterB_mb" "0.0360513835176922" "0.834649570981037"
"GSE98208" "luminal_clusterB_mb" "0.53562712159108" "0.0592202857981951"
"GSE98596" "luminal_clusterB_mb" "-0.85565117370651" "0.0297510072813737"
