"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterB_t" "0.968485240181391" "7.64117245567574e-05"
"GSE100553" "luminal_clusterB_t" "0.176936240691455" "0.455515804492718"
"GSE102369" "luminal_clusterB_t" "0.574709158140391" "0.232846783850364"
"GSE103865" "luminal_clusterB_t" "-0.711729781423566" "0.0043031136592704"
"GSE106618" "luminal_clusterB_t" "-0.416571784152985" "0.108475733224791"
"GSE11259" "luminal_clusterB_t" "0.845375379161088" "0.00410065494907231"
"GSE112796" "luminal_clusterB_t" "-0.0944194568289764" "0.858791691082355"
"GSE112797" "luminal_clusterB_t" "0.0843319693624679" "0.69521723282161"
"GSE112910" "luminal_clusterB_t" "0.261164122694604" "0.617160387308968"
"GSE113283" "luminal_clusterB_t" "-0.412055247844816" "0.416898461104453"
"GSE115255" "luminal_clusterB_t" "-0.160606318785467" "0.704001507420113"
"GSE117474" "luminal_clusterB_t" "0.0971354394864726" "0.741139822823112"
"GSE118612" "luminal_clusterB_t" "0.603779388650416" "0.064543723467832"
"GSE119149" "luminal_clusterB_t" "0.797285742681046" "0.0018967684565558"
"GSE119253" "luminal_clusterB_t" "-0.507757091080211" "0.198934702984624"
"GSE122008" "luminal_clusterB_t" "0.0402034394929259" "0.891460643130788"
"GSE124648" "luminal_clusterB_t" "-0.508061146776191" "4.35016496974017e-07"
"GSE126153" "luminal_clusterB_t" "0.681289983017285" "0.136177456105472"
"GSE128190" "luminal_clusterB_t" "0.389339309867182" "0.340406495271827"
"GSE128958" "luminal_clusterB_t" "-0.735306182771751" "0.0376462374951025"
"GSE136031" "luminal_clusterB_t" "0.0430634563113632" "0.771339883482965"
"GSE136287" "luminal_clusterB_t" "0.496039851452569" "0.0362915747550184"
"GSE1378" "luminal_clusterB_t" "-0.387517875737301" "0.00222038141851476"
"GSE140494" "luminal_clusterB_t" "-0.687306258223315" "5.328789690431e-14"
"GSE147271" "luminal_clusterB_t" "-0.595339298468129" "4.129065991481e-11"
"GSE148186" "luminal_clusterB_t" "-0.721992112279803" "0.00158799951855932"
"GSE148843" "luminal_clusterB_t" "0.311439628856317" "0.0194666117996566"
"GSE151635" "luminal_clusterB_t" "-0.482882904485643" "0.111798064016295"
"GSE155570" "luminal_clusterB_t" "-0.170977720887356" "0.298013196858583"
"GSE157284" "luminal_clusterB_t" "-0.310967535606057" "0.00446120542516786"
"GSE158309" "luminal_clusterB_t" "-0.625686558587988" "1.83428421355475e-51"
"GSE159661" "luminal_clusterB_t" "0.346113982943264" "0.27043359532656"
"GSE17705" "luminal_clusterB_t" "-0.272629852750996" "1.77626248817326e-06"
"GSE178748" "luminal_clusterB_t" "0.132416503158905" "0.638043423288929"
"GSE183694" "luminal_clusterB_t" "0.565080976622862" "0.0555534894945283"
"GSE190596" "luminal_clusterB_t" "-0.882853609310874" "0.0197810991014441"
"GSE23655" "luminal_clusterB_t" "-0.0183299305982922" "0.938860857052577"
"GSE24202" "luminal_clusterB_t" "0.341275178037277" "0.130016925318651"
"GSE26459" "luminal_clusterB_t" "-0.532262737140611" "0.00742047540425306"
"GSE26541" "luminal_clusterB_t" "0.759076908213365" "0.0800738419549584"
"GSE27473" "luminal_clusterB_t" "0.994523290207885" "4.49093900449916e-05"
"GSE28448" "luminal_clusterB_t" "0.298274755823762" "0.372976334751986"
"GSE32150" "luminal_clusterB_t" "0.0781641485713823" "0.830056751251556"
"GSE32727" "luminal_clusterB_t" "0.062186945289406" "0.847748181885125"
"GSE33146" "luminal_clusterB_t" "-0.859434800192662" "0.0282491790460303"
"GSE36081" "luminal_clusterB_t" "-0.166958161303581" "0.75188973972398"
"GSE40057" "luminal_clusterB_t" "-0.0447843949141246" "0.890082598325146"
"GSE40690" "luminal_clusterB_t" "0.904085698001042" "4.58625253712406e-08"
"GSE43495" "luminal_clusterB_t" "0.860269656818904" "3.88082902109401e-05"
"GSE46834" "luminal_clusterB_t" "0.879095059218096" "0.00402749950545287"
"GSE49005" "luminal_clusterB_t" "-0.149853242114031" "0.64204150078639"
"GSE52262" "luminal_clusterB_t" "0.0667547966927251" "0.740777397255909"
"GSE52327" "luminal_clusterB_t" "0.277118902947357" "0.298763607851543"
"GSE54133" "luminal_clusterB_t" "0.525385598955024" "0.00119164437655243"
"GSE54505" "luminal_clusterB_t" "-0.207504256306176" "0.693210976374748"
"GSE55470" "luminal_clusterB_t" "0.501730573364174" "1.52276870254058e-05"
"GSE55715" "luminal_clusterB_t" "-0.759459213075051" "0.0288190658988562"
"GSE62931" "luminal_clusterB_t" "-0.597580472994885" "5.25132928960555e-11"
"GSE6532" "luminal_clusterB_t" "-0.086785717762258" "0.424125291431208"
"GSE66527" "luminal_clusterB_t" "0.55074707133843" "0.00108933161274987"
"GSE67916" "luminal_clusterB_t" "-0.721507597568706" "0.000725296686261268"
"GSE69363" "luminal_clusterB_t" "0.189822798625711" "0.51570265630302"
"GSE70279" "luminal_clusterB_t" "0.275926649517952" "0.0395495561237406"
"GSE72480" "luminal_clusterB_t" "0.739142445763304" "0.0931947522828883"
"GSE74377" "luminal_clusterB_t" "0.521344338132187" "0.0383592031402704"
"GSE77107" "luminal_clusterB_t" "0.946265687799908" "0.00124872093613068"
"GSE77408" "luminal_clusterB_t" "0.816363965438476" "0.00119750118484295"
"GSE81929" "luminal_clusterB_t" "0.722944083896952" "0.104506567592348"
"GSE85857" "luminal_clusterB_t" "-0.14658868062537" "0.78169194553159"
"GSE86024" "luminal_clusterB_t" "0.740664559676177" "0.0142714684171028"
"GSE86301" "luminal_clusterB_t" "0.625272049570041" "0.184321711585234"
"GSE89152" "luminal_clusterB_t" "-0.729678137037152" "0.0256514985197681"
"GSE90605" "luminal_clusterB_t" "0.000412029887707304" "0.999227444047986"
"GSE9195" "luminal_clusterB_t" "-0.0109646851989827" "0.924597742487888"
