"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterC_celline" "-0.952779893864518" "0.000253987249497089"
"GSE100553" "luminal_clusterC_celline" "-0.0643773583037348" "0.787432825076893"
"GSE102369" "luminal_clusterC_celline" "0.676823042265174" "0.139788177606408"
"GSE103865" "luminal_clusterC_celline" "-0.250366792772636" "0.387962261664394"
"GSE106618" "luminal_clusterC_celline" "-0.232181247517615" "0.386872343646262"
"GSE11259" "luminal_clusterC_celline" "-0.254509397753271" "0.508695505890679"
"GSE112796" "luminal_clusterC_celline" "-0.530319783206254" "0.279093647158657"
"GSE112797" "luminal_clusterC_celline" "0.0339846177549677" "0.874734824749656"
"GSE112910" "luminal_clusterC_celline" "-0.93737994413719" "0.00575913197744853"
"GSE113283" "luminal_clusterC_celline" "-0.560706674216148" "0.247080827889802"
"GSE115255" "luminal_clusterC_celline" "0.220169998879266" "0.600328121705359"
"GSE117474" "luminal_clusterC_celline" "0.0585473437295819" "0.842412243795942"
"GSE118612" "luminal_clusterC_celline" "0.586756446851577" "0.0745678075263469"
"GSE119149" "luminal_clusterC_celline" "-0.670050481152219" "0.0171196619769541"
"GSE119253" "luminal_clusterC_celline" "-0.403281904357273" "0.321831634754284"
"GSE122008" "luminal_clusterC_celline" "-0.117409952602215" "0.689350228605851"
"GSE124648" "luminal_clusterC_celline" "-0.0805411814769262" "0.455695594283171"
"GSE126153" "luminal_clusterC_celline" "0.807840100298779" "0.051840347400293"
"GSE128190" "luminal_clusterC_celline" "-0.0135718087150901" "0.974555983293564"
"GSE128958" "luminal_clusterC_celline" "-0.58280118501061" "0.129475051682804"
"GSE136031" "luminal_clusterC_celline" "0.578700271495188" "1.6435118527733e-05"
"GSE136287" "luminal_clusterC_celline" "-0.200358941988976" "0.42535930549525"
"GSE1378" "luminal_clusterC_celline" "0.0213266260261215" "0.871511686570385"
"GSE140494" "luminal_clusterC_celline" "-0.255452642806715" "0.0145306768289542"
"GSE147271" "luminal_clusterC_celline" "-0.314611851571836" "0.00127987996096062"
"GSE148186" "luminal_clusterC_celline" "-0.393980747038783" "0.131058719497295"
"GSE148843" "luminal_clusterC_celline" "0.251345509282221" "0.0616790894898488"
