"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterC_mb" "-0.928013855686725" "0.000882956586636742"
"GSE100553" "luminal_clusterC_mb" "0.172114920599362" "0.468083001117765"
"GSE102369" "luminal_clusterC_mb" "0.603070424838606" "0.205060891385987"
"GSE103865" "luminal_clusterC_mb" "0.0383681174273048" "0.896390689147604"
"GSE106618" "luminal_clusterC_mb" "-0.338351962559386" "0.199900549207845"
"GSE11259" "luminal_clusterC_mb" "0.317251558089934" "0.405482579539558"
"GSE112796" "luminal_clusterC_mb" "-0.77317694663322" "0.0713381709742155"
"GSE112797" "luminal_clusterC_mb" "0.0466885487511794" "0.828493808117001"
"GSE112910" "luminal_clusterC_mb" "-0.940917190464698" "0.00513304507672309"
"GSE113283" "luminal_clusterC_mb" "-0.772722828058754" "0.0716123780696598"
"GSE115255" "luminal_clusterC_mb" "0.162024710600133" "0.701478636555572"
"GSE117474" "luminal_clusterC_mb" "0.080900944827692" "0.783368865731105"
"GSE118612" "luminal_clusterC_mb" "-0.374719673887946" "0.286025964731165"
"GSE119149" "luminal_clusterC_mb" "-0.679462662456248" "0.0150801499466177"
"GSE119253" "luminal_clusterC_mb" "-0.204416481445311" "0.627262458500533"
"GSE122008" "luminal_clusterC_mb" "-0.0505960136333642" "0.863617592131007"
"GSE124648" "luminal_clusterC_mb" "0.0958340669446936" "0.374435497573423"
"GSE126153" "luminal_clusterC_mb" "0.701376921308749" "0.120448647211973"
"GSE128190" "luminal_clusterC_mb" "-0.21701871963431" "0.605685581159506"
"GSE128958" "luminal_clusterC_mb" "-0.45368087871082" "0.258865212440355"
"GSE136031" "luminal_clusterC_mb" "0.608353169442143" "4.4990705555326e-06"
"GSE136287" "luminal_clusterC_mb" "-0.215105225301942" "0.391336238077967"
"GSE1378" "luminal_clusterC_mb" "-0.0268896806983504" "0.838398917473795"
"GSE140494" "luminal_clusterC_mb" "-0.122457037687164" "0.247527687027113"
"GSE147271" "luminal_clusterC_mb" "-0.228675014498977" "0.0207907867641396"
"GSE148186" "luminal_clusterC_mb" "0.383800217931942" "0.142221406590785"
"GSE148843" "luminal_clusterC_mb" "0.195457120809347" "0.148839312267464"
"GSE151635" "luminal_clusterC_mb" "0.55243535807249" "0.0625184771965514"
"GSE155570" "luminal_clusterC_mb" "0.400589979439997" "0.0115004446999756"
"GSE157284" "luminal_clusterC_mb" "-0.191267655456694" "0.0851885232184732"
"GSE158309" "luminal_clusterC_mb" "-0.00218684682064448" "0.962651767431786"
"GSE159661" "luminal_clusterC_mb" "-0.869990425725425" "0.000234220230066781"
"GSE17705" "luminal_clusterC_mb" "-0.125639380949138" "0.0301316164084957"
"GSE178748" "luminal_clusterC_mb" "0.0756776214860082" "0.788657437913375"
"GSE183694" "luminal_clusterC_mb" "0.246128641907417" "0.440625840946035"
"GSE190596" "luminal_clusterC_mb" "0.372248748686886" "0.467417969761553"
"GSE23655" "luminal_clusterC_mb" "-0.602990077842948" "0.00488817877001869"
"GSE24202" "luminal_clusterC_mb" "-0.665638532814909" "0.000989754608957866"
"GSE26459" "luminal_clusterC_mb" "0.0887477166215982" "0.680061789254168"
"GSE26541" "luminal_clusterC_mb" "-0.662063648229265" "0.15200513586085"
"GSE27473" "luminal_clusterC_mb" "-0.999781871770831" "7.13646972781475e-08"
"GSE28448" "luminal_clusterC_mb" "-0.0881872178052715" "0.796533734076337"
"GSE32150" "luminal_clusterC_mb" "-0.41219800654276" "0.236533012272499"
"GSE32727" "luminal_clusterC_mb" "-0.915025593175383" "3.02113602285276e-05"
"GSE33146" "luminal_clusterC_mb" "0.833229508482706" "0.0393994517156624"
"GSE36081" "luminal_clusterC_mb" "0.20388902381212" "0.698404372472193"
"GSE40057" "luminal_clusterC_mb" "-0.954047446775562" "1.49363031713697e-06"
"GSE40690" "luminal_clusterC_mb" "-0.797892615500852" "2.49895855673512e-05"
"GSE43495" "luminal_clusterC_mb" "-0.896957190888063" "5.87541197306356e-06"
"GSE46834" "luminal_clusterC_mb" "-0.307614922856432" "0.458574919738705"
"GSE49005" "luminal_clusterC_mb" "0.289870523167566" "0.360760204356517"
"GSE52262" "luminal_clusterC_mb" "-0.705820011790314" "3.90630322575116e-05"
"GSE52327" "luminal_clusterC_mb" "-0.0111843816263475" "0.967208694478594"
"GSE54133" "luminal_clusterC_mb" "0.225975187961522" "0.19179238555367"
"GSE54505" "luminal_clusterC_mb" "0.705323383515385" "0.117457442371503"
"GSE55470" "luminal_clusterC_mb" "0.12990992003175" "0.294732921116439"
"GSE55715" "luminal_clusterC_mb" "-0.0775456718734063" "0.855183698476296"
"GSE62931" "luminal_clusterC_mb" "0.299533299973561" "0.00246579053052129"
"GSE6532" "luminal_clusterC_mb" "0.111862693639573" "0.302289385069156"
"GSE66527" "luminal_clusterC_mb" "-0.716640348360415" "3.9596113018667e-06"
"GSE67916" "luminal_clusterC_mb" "-0.870524306211753" "2.62483235512914e-06"
"GSE69363" "luminal_clusterC_mb" "-0.0894139471599023" "0.76114809359794"
"GSE70279" "luminal_clusterC_mb" "-0.434890219822412" "0.000809889831057538"
"GSE72480" "luminal_clusterC_mb" "-0.123076578327212" "0.816317304921628"
"GSE74377" "luminal_clusterC_mb" "-0.333863163195117" "0.206312966558731"
"GSE77107" "luminal_clusterC_mb" "0.674785007082051" "0.096315946538416"
"GSE77408" "luminal_clusterC_mb" "0.110707513837176" "0.731959062368909"
"GSE81929" "luminal_clusterC_mb" "-0.581798514802811" "0.225768575424351"
"GSE85857" "luminal_clusterC_mb" "-0.428056237219012" "0.397132474840067"
"GSE86024" "luminal_clusterC_mb" "0.30524104716816" "0.391096873944305"
"GSE86301" "luminal_clusterC_mb" "0.454189595530127" "0.365562581196192"
"GSE89152" "luminal_clusterC_mb" "0.383569539820438" "0.308171939447765"
"GSE90605" "luminal_clusterC_mb" "0.0724986644414571" "0.864540574432365"
"GSE9195" "luminal_clusterC_mb" "-0.266025603388029" "0.0193617693741011"
"GSE92333" "luminal_clusterC_mb" "0.679741194478345" "0.0305886085381737"
"GSE95165" "luminal_clusterC_mb" "-0.0946838527147137" "0.76975184756916"
"GSE96033" "luminal_clusterC_mb" "-0.550424954993842" "0.0179336193226588"
"GSE97726" "luminal_clusterC_mb" "-0.0575639336813645" "0.738778699543331"
"GSE98208" "luminal_clusterC_mb" "0.653065789383064" "0.0155132409665184"
"GSE98596" "luminal_clusterC_mb" "-0.926742399222606" "0.00785343920091032"
