"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_clusterC_t" "-0.946254872169187" "0.000372636019197652"
"GSE100553" "luminal_clusterC_t" "0.0337329993268487" "0.887724291433374"
"GSE102369" "luminal_clusterC_t" "0.70191207582669" "0.120041104323555"
"GSE103865" "luminal_clusterC_t" "-0.104364353007888" "0.722544519016335"
"GSE106618" "luminal_clusterC_t" "-0.338381841202407" "0.199858304655907"
"GSE11259" "luminal_clusterC_t" "-0.473788445062755" "0.197618471403824"
"GSE112796" "luminal_clusterC_t" "-0.57053425381837" "0.23705573198728"
"GSE112797" "luminal_clusterC_t" "-0.00351833591209249" "0.986982208419199"
"GSE112910" "luminal_clusterC_t" "-0.934634667835267" "0.00626929914344473"
"GSE113283" "luminal_clusterC_t" "-0.621086956032327" "0.188161404212131"
"GSE115255" "luminal_clusterC_t" "0.238086815463059" "0.570170373537163"
"GSE117474" "luminal_clusterC_t" "0.0677272042235497" "0.818054275671397"
"GSE118612" "luminal_clusterC_t" "0.696203180032035" "0.0253253953329514"
"GSE119149" "luminal_clusterC_t" "-0.617586621805756" "0.0323694474293047"
"GSE119253" "luminal_clusterC_t" "-0.382413835359586" "0.349812573623983"
"GSE122008" "luminal_clusterC_t" "-0.0878955160109965" "0.765099516545293"
"GSE124648" "luminal_clusterC_t" "-0.0459981822330561" "0.670430784946896"
"GSE126153" "luminal_clusterC_t" "0.733548749678002" "0.0970358809025012"
"GSE128190" "luminal_clusterC_t" "-0.0422744921549047" "0.920829714236209"
"GSE128958" "luminal_clusterC_t" "-0.609338065627476" "0.108793842826134"
"GSE136031" "luminal_clusterC_t" "0.716101716336748" "1.05253409016876e-08"
"GSE136287" "luminal_clusterC_t" "-0.278475203436192" "0.263154290725096"
"GSE1378" "luminal_clusterC_t" "0.109257657944682" "0.4059763915218"
"GSE140494" "luminal_clusterC_t" "-0.225854071197171" "0.0313482430127341"
"GSE147271" "luminal_clusterC_t" "-0.289479304108397" "0.00316722706674486"
"GSE148186" "luminal_clusterC_t" "0.419384249589174" "0.105869590404319"
"GSE148843" "luminal_clusterC_t" "0.16985594242633" "0.210739508782134"
"GSE151635" "luminal_clusterC_t" "0.832433320233875" "0.000779617171031028"
"GSE155570" "luminal_clusterC_t" "-0.405514368090761" "0.0104332672657844"
"GSE157284" "luminal_clusterC_t" "-0.186585007290415" "0.0932622174652978"
"GSE158309" "luminal_clusterC_t" "-0.129539916747604" "0.00534395498371065"
"GSE159661" "luminal_clusterC_t" "-0.919086977018384" "2.38153475294926e-05"
"GSE17705" "luminal_clusterC_t" "-0.104992426074739" "0.0703208828872268"
"GSE178748" "luminal_clusterC_t" "0.0973002669554456" "0.730117173208415"
"GSE183694" "luminal_clusterC_t" "0.379397397478248" "0.223852728986341"
"GSE190596" "luminal_clusterC_t" "0.539498050844563" "0.269265575191227"
"GSE23655" "luminal_clusterC_t" "-0.184589393112663" "0.435929285747683"
"GSE24202" "luminal_clusterC_t" "-0.65479502895637" "0.00127687926945157"
"GSE26459" "luminal_clusterC_t" "-0.184972113813085" "0.386873120525052"
"GSE26541" "luminal_clusterC_t" "-0.596450357446046" "0.211418974455149"
"GSE27473" "luminal_clusterC_t" "-0.999793941137773" "6.36860073976067e-08"
"GSE28448" "luminal_clusterC_t" "-0.107144153695167" "0.753858303842085"
"GSE32150" "luminal_clusterC_t" "-0.595174645128743" "0.0694927289922694"
"GSE32727" "luminal_clusterC_t" "-0.915062769175779" "3.01472612665381e-05"
"GSE33146" "luminal_clusterC_t" "0.828629425011856" "0.0415354162332901"
"GSE36081" "luminal_clusterC_t" "0.218193766532554" "0.677903291323215"
"GSE40057" "luminal_clusterC_t" "-0.964138056703999" "4.39828325754332e-07"
"GSE40690" "luminal_clusterC_t" "-0.692102226214792" "0.000721699842573317"
"GSE43495" "luminal_clusterC_t" "-0.892723942665974" "7.5530026605281e-06"
"GSE46834" "luminal_clusterC_t" "-0.127781557616188" "0.763004845929894"
"GSE49005" "luminal_clusterC_t" "0.490542758784291" "0.105405417620278"
"GSE52262" "luminal_clusterC_t" "-0.696028818312087" "5.54038231028503e-05"
"GSE52327" "luminal_clusterC_t" "-0.0585943713770366" "0.82933900407804"
"GSE54133" "luminal_clusterC_t" "0.136430714855211" "0.434516377858608"
"GSE54505" "luminal_clusterC_t" "0.0628558865243143" "0.905840337695096"
"GSE55470" "luminal_clusterC_t" "-0.115035743038241" "0.353941959205266"
"GSE55715" "luminal_clusterC_t" "0.226131382121931" "0.590236071813473"
"GSE62931" "luminal_clusterC_t" "0.0761002897506788" "0.451733964128298"
"GSE6532" "luminal_clusterC_t" "0.108616641006975" "0.316622929369188"
"GSE66527" "luminal_clusterC_t" "-0.706059700807124" "6.33796596078205e-06"
"GSE67916" "luminal_clusterC_t" "-0.910872645432639" "1.5092088554917e-07"
"GSE69363" "luminal_clusterC_t" "-0.403137945363696" "0.152923578925641"
"GSE70279" "luminal_clusterC_t" "-0.424472816996686" "0.00111219990700001"
"GSE72480" "luminal_clusterC_t" "0.0436332131225165" "0.934591716021613"
"GSE74377" "luminal_clusterC_t" "-0.304792830152938" "0.251030415879992"
"GSE77107" "luminal_clusterC_t" "0.732999794567068" "0.0608988010298821"
"GSE77408" "luminal_clusterC_t" "0.294301006970111" "0.35312820512368"
"GSE81929" "luminal_clusterC_t" "-0.627159913934089" "0.182600394859308"
"GSE85857" "luminal_clusterC_t" "-0.45901029602139" "0.359839099305025"
"GSE86024" "luminal_clusterC_t" "0.290091129053223" "0.416184606997343"
"GSE86301" "luminal_clusterC_t" "0.116765120514684" "0.825648312505632"
"GSE89152" "luminal_clusterC_t" "0.171982531435293" "0.658161312623559"
"GSE90605" "luminal_clusterC_t" "0.107639992539872" "0.799728540937698"
"GSE9195" "luminal_clusterC_t" "-0.251605019778875" "0.0272893213220555"
"GSE92333" "luminal_clusterC_t" "0.538773397125166" "0.108077775551382"
"GSE95165" "luminal_clusterC_t" "-0.098127254959299" "0.761588546270552"
"GSE96033" "luminal_clusterC_t" "-0.522565464327953" "0.0260872511538575"
"GSE97726" "luminal_clusterC_t" "-0.28400498103976" "0.0932188352680751"
"GSE98208" "luminal_clusterC_t" "0.712261937957822" "0.00630199026426809"
"GSE98596" "luminal_clusterC_t" "-0.86125778771965" "0.027538749930266"
