"Dataset" "Metric" "Correlation" "Pvalue"
"GSE100092" "luminal_pEMT" "0.231762806673674" "0.580755116099967"
"GSE100553" "luminal_pEMT" "-0.221008094285446" "0.349073351542904"
"GSE102369" "luminal_pEMT" "0.54819443322454" "0.260079260854575"
"GSE103865" "luminal_pEMT" "-0.342654786434437" "0.230412016645524"
"GSE106618" "luminal_pEMT" "-0.0158120223175469" "0.953652570052264"
"GSE11259" "luminal_pEMT" "0.778526767563004" "0.0134508928523055"
"GSE112796" "luminal_pEMT" "-0.765020903423265" "0.076335557675331"
"GSE112797" "luminal_pEMT" "-0.0838377267079921" "0.696920737218667"
"GSE112910" "luminal_pEMT" "-0.963802386486446" "0.00194168656282664"
"GSE113283" "luminal_pEMT" "-0.104792236242214" "0.843387029037661"
"GSE115255" "luminal_pEMT" "-0.0136528226773571" "0.974404138402364"
"GSE117474" "luminal_pEMT" "-0.303996925989748" "0.290660066457528"
"GSE118612" "luminal_pEMT" "0.447605599346479" "0.194576772424236"
"GSE119149" "luminal_pEMT" "0.683196055496345" "0.0143229692902164"
"GSE119253" "luminal_pEMT" "-0.225122517468555" "0.591939999553674"
"GSE122008" "luminal_pEMT" "-0.0241334238343787" "0.934733439206545"
"GSE124648" "luminal_pEMT" "0.198904952446693" "0.0631939355338142"
"GSE126153" "luminal_pEMT" "0.395011851839406" "0.438299933598983"
"GSE128190" "luminal_pEMT" "-0.096535579181959" "0.820117178209676"
"GSE128958" "luminal_pEMT" "-0.783998639223442" "0.0212894713570179"
"GSE136031" "luminal_pEMT" "0.296428717478684" "0.040774443421293"
"GSE136287" "luminal_pEMT" "-0.0525390032364011" "0.83597572931394"
"GSE1378" "luminal_pEMT" "-0.0646300309233029" "0.623706256490964"
"GSE140494" "luminal_pEMT" "-0.0493834030949762" "0.642032301792619"
"GSE147271" "luminal_pEMT" "-0.234657686475737" "0.0175981382163195"
"GSE148186" "luminal_pEMT" "0.119564924684492" "0.659175056342857"
"GSE148843" "luminal_pEMT" "0.0266611787019577" "0.845354830639496"
"GSE151635" "luminal_pEMT" "0.974176905014801" "8.65980641325118e-08"
"GSE155570" "luminal_pEMT" "-0.672773691591545" "2.70843278446209e-06"
"GSE157284" "luminal_pEMT" "-0.186319111020873" "0.0937381449471032"
"GSE158309" "luminal_pEMT" "0.100581301924066" "0.0308356429806354"
"GSE159661" "luminal_pEMT" "-0.973354076489312" "1.01162375062078e-07"
"GSE17705" "luminal_pEMT" "0.00847382137085802" "0.884182954725522"
"GSE178748" "luminal_pEMT" "-0.0239947852234468" "0.932356407380537"
"GSE183694" "luminal_pEMT" "-0.29557332584112" "0.35095248757537"
"GSE190596" "luminal_pEMT" "-0.594268791064009" "0.213531428533022"
