x	y	data
Lum	-3.872149735	il1b
Lum_H	-25.56786296	il1b
Bas_mes	-5.200740681	il1b
Bas_H	13.06632998	il1b
Bas_epi	17.49596176	il1b
Lum	-3.208415121	il1b
Lum_H	-29.42469606	il1b
Bas_mes	-4.500207889	il1b
Bas_H	10.3430217	il1b
Bas_epi	17.83704503	il1b
Lum	-1.460833104	il1b
Lum_H	-30.02289047	il1b
Bas_mes	-5.520448141	il1b
Bas_H	11.17320426	il1b
Bas_epi	16.89649086	il1b
Lum	-3.687529756	tgfb1
Lum_H	91.23823214	tgfb1
Bas_mes	23.61434744	tgfb1
Bas_H	-31.99596682	tgfb1
Bas_epi	-48.40533389	tgfb1
Lum	-3.315719912	tgfb1
Lum_H	84.26383495	tgfb1
Bas_mes	24.96435793	tgfb1
Bas_H	-33.7127774	tgfb1
Bas_epi	-47.97901803	tgfb1
Lum	-2.186976574	tgfb1
Lum_H	72.10939424	tgfb1
Bas_mes	24.93847575	tgfb1
Bas_H	-33.38921919	tgfb1
Bas_epi	-48.78423159	tgfb1

