name	status
TNFRSF12A	common_receptors
CD44	common_receptors
CD47	common_receptors
PTPRF	common_receptors
LRP10	common_receptors
LTBR	common_receptors
PTPRK	common_receptors
ITGB1	common_receptors
C1QBP	common_receptors
RPSA	common_receptors
NCL	common_receptors
APLP2	common_receptors
CANX	common_receptors
LPP	common_receptors
LAMP1	common_receptors
APP	common_receptors
DDR1	common_receptors
CD9	common_receptors
CD63	common_receptors
TNFRSF14	common_receptors
ACTR2	common_receptors
CD74	common_receptors
CD81	common_receptors
SDC4	common_receptors
NCSTN	common_receptors
SIGIRR	common_receptors
PTPRA	common_receptors
CD46	common_receptors
CD151	common_receptors
MCFD2	common_receptors
TNFRSF1A	common_receptors
ESR1	lumA_receptors
IFNAR1	lumA_receptors
MUC1	lumA_receptors
TSPAN1	lumA_receptors
SLC1A5	lumA_receptors
STX4	lumA_receptors
AGR2	lumA_receptors
CELSR1	lumA_receptors
STX3	lumA_receptors
ERBB3	lumA_receptors
BAMBI	lumA_receptors
BCAM	lumA_receptors
LDLR	lumA_receptors
TSPAN15	lumA_receptors
AR	lumA_receptors
NPTN	lumA_receptors
LSR	lumA_receptors
PRLR	lumA_receptors
NOTCH2	lumA_receptors
IFITM1	lumA_receptors
ERBB2	lumA_receptors
PLXNB2	lumA_receptors
PILRB	lumA_receptors
TSPAN14	basal_receptors
CD82	basal_receptors
TSPAN17	basal_receptors
TRAF2	basal_receptors
CAV1	basal_receptors
TRADD	basal_receptors
SLC16A1	basal_receptors
PTK7	basal_receptors
PTN	common_ligands
HLA-A	common_ligands
PKM	common_ligands
FN1	common_ligands
CD40LG	common_ligands
TIMP3	common_ligands
HSPG2	common_ligands
AGRN	common_ligands
FAM3C	common_ligands
TNFSF12	common_ligands
ADAM10	common_ligands
HLA-B	common_ligands
HBEGF	common_ligands
COL1A2	common_ligands
COL5A2	common_ligands
COL4A2	common_ligands
ICAM1	common_ligands
TIMP2	common_ligands
TGM2	common_ligands
CALM1	common_ligands
COL3A1	common_ligands
COL6A2	common_ligands
LGALS1	common_ligands
SPON1	common_ligands
TIMP1	common_ligands
LAMC1	common_ligands
CD99	common_ligands
ADAM17	common_ligands
LMAN1	common_ligands
SLIT2	common_ligands
LAMA5	common_ligands
CCL5	common_ligands
COL1A1	common_ligands
LAMA4	common_ligands
MDK	common_ligands
TFPI	common_ligands
LGALS3BP	common_ligands
LAMB2	common_ligands
ADAM15	common_ligands
TGFB1	common_ligands
LAMB1	common_ligands
LTB	common_ligands
IL16	common_ligands
C3	common_ligands
TNC	common_ligands
THBS1	common_ligands
MIF	common_ligands
COL4A1	common_ligands
VEGFA	common_ligands
LGALS9	common_ligands
APOE	common_ligands
CXCL8	common_ligands
VCAN	common_ligands
COL6A3	common_ligands
FBLN1	common_ligands
C1QB	common_ligands
VIM	common_ligands
CALM3	common_ligands
TNF	common_ligands
CXCL12	common_ligands
LUM	common_ligands
INHBA	common_ligands
NID1	common_ligands
PTDSS1	common_ligands
APP	common_ligands
COL14A1	common_ligands
SPP1	common_ligands
IL1B	common_ligands
ANGPTL4	common_ligands
GRN	common_ligands
LPL	common_ligands
SPTAN1	common_ligands
VWF	common_ligands
ADAM12	common_ligands
COL6A1	common_ligands
THBS2	common_ligands
JAG1	common_ligands
F8	lumA_ligands
COL9A2	lumA_ligands
ETV5	lumA_ligands
JAG2	lumA_ligands
AREG	lumA_ligands
IGF2	lumA_ligands
GPC3	lumA_ligands
MXRA5	lumA_ligands
LAMC2	lumA_ligands
VEGFC	lumA_ligands
SEMA4A	lumA_ligands
MFNG	lumA_ligands
SELE	lumA_ligands
S100A4	lumA_ligands
MAML2	lumA_ligands
LRPAP1	lumA_ligands
PIP	lumA_ligands
MMP9	lumA_ligands
SEMA4C	lumA_ligands
HSP90B1	lumA_ligands
ACTR2	lumA_ligands
EREG	lumA_ligands
THBS4	lumA_ligands
HSP90AA1	lumA_ligands
DLL4	lumA_ligands
LAMA2	lumA_ligands
IGF1	lumA_ligands
ARPC5	lumA_ligands
SERTAD1	lumA_ligands
HSPA8	lumA_ligands
PSAP	lumA_ligands
LYPD3	lumA_ligands
CDH1	lumA_ligands
TXLNA	lumA_ligands
LAMB3	basal_ligands
TGFB3	basal_ligands
DKK1	basal_ligands
SIRPG	basal_ligands
CALM2	basal_ligands
HRAS	basal_ligands
BSG	basal_ligands
SIRPA	basal_ligands
PTGS2	basal_ligands
FASLG	basal_ligands
HMGB1	basal_ligands
FBN1	basal_ligands
SERPINE1	basal_ligands
GSTP1	basal_ligands
ANGPT1	basal_ligands
PLAU	basal_ligands
TNFSF14	basal_ligands
S100A8	basal_ligands
FADD	basal_ligands
POSTN	basal_ligands
ADAM9	basal_ligands
JAM3	basal_ligands
S100A9	basal_ligands
CLEC11A	basal_ligands
TNFSF13B	basal_ligands
CD14	basal_ligands
RSPO3	basal_ligands
GNAI2	basal_ligands
PSEN1	basal_ligands
SPON2	basal_ligands
COPA	basal_ligands
BST1	basal_ligands
