gene,lumpos,lumneg,baspos,basneg,epipos,epineg,mespos,mesneg,pemtpos,pemtneg
TNFRSF12A,12,8,11,6,7,11,14,6,28,4
CD44,8,8,15,1,13,13,18,9,24,2
CD47,8,14,16,4,13,13,8,8,15,8
PTPRF,17,6,8,6,31,4,5,19,7,10
LRP10,20,6,5,20,25,6,14,13,14,8
LTBR,4,10,8,12,12,5,4,10,12,11
PTPRK,12,6,16,7,18,8,12,8,17,8
ITGB1,7,13,8,5,6,21,26,2,33,1
C1QBP,3,13,14,2,9,11,8,12,9,14
RPSA,4,4,3,5,7,10,5,6,4,6
NCL,2,8,18,3,6,6,8,9,9,12
APLP2,11,3,3,8,14,7,16,4,14,11
CANX,6,12,8,7,4,10,17,7,9,7
LPP,9,6,11,17,9,17,18,3,12,5
LAMP1,9,8,6,11,13,11,14,4,15,5
APP,17,2,14,7,18,7,16,5,20,4
DDR1,17,0,10,7,31,3,2,16,8,10
CD9,15,3,8,5,39,2,7,21,12,12
CD63,11,5,5,14,13,16,21,2,19,4
TNFRSF14,9,4,3,9,10,7,6,8,5,7
ACTR2,5,12,15,6,8,15,10,5,10,4
CD74,5,7,5,8,8,12,15,5,11,7
CD81,7,7,6,12,8,13,22,5,18,4
SDC4,16,2,6,3,22,7,3,15,9,10
NCSTN,13,9,8,11,12,11,12,7,11,6
SIGIRR,19,5,3,19,21,3,3,18,3,12
PTPRA,5,8,2,8,10,10,17,5,10,8
CD46,15,6,6,4,20,4,4,14,6,10
CD151,10,9,8,11,15,11,16,4,15,7
MCFD2,7,17,10,5,7,15,25,4,25,2
TNFRSF1A,9,11,6,10,17,19,21,6,19,8
ESR1,37,1,7,23,23,5,6,24,5,17
IFNAR1,6,5,5,8,6,11,10,5,11,6
MUC1,26,2,5,20,39,8,5,19,9,23
TSPAN1,23,4,18,10,48,1,4,27,8,16
SLC1A5,5,10,15,5,14,7,8,14,8,14
STX4,2,7,2,10,5,8,9,3,10,2
AGR2,30,3,8,9,37,3,4,16,7,13
CELSR1,24,3,7,14,28,3,1,20,7,12
STX3,15,6,8,7,27,5,6,16,13,13
ERBB3,31,2,7,16,52,2,3,31,8,28
BAMBI,15,5,9,10,19,12,10,12,13,17
BCAM,25,2,6,18,31,2,3,23,6,23
LDLR,8,6,12,5,22,7,7,9,11,10
TSPAN15,26,3,10,14,36,9,7,25,6,23
AR,23,8,2,18,21,11,14,11,7,15
NPTN,13,7,8,5,18,9,12,5,14,3
LSR,23,7,16,7,44,3,3,25,11,11
